id,level,exp,hp
2400020,38,120,19000
2400100,95,1819,220000
2400101,96,1872,228000
2400102,98,1978,244000
2400103,96,1872,228000
2400104,97,1925,236000
2400105,99,2029,252000
2400106,95,1819,220000
2400107,100,2076,260000
2400108,97,1925,236000
2400109,96,1872,228000
2400110,101,2168,273360
2400111,103,2325,301040
2400112,102,2237,287040
2400113,104,2416,315360
2400114,105,2488,331500
2400115,115,3411,755250
2400116,106,2579,346500
2400117,107,2672,361820
2400118,106,2579,346500
2400119,107,2672,361820
2400120,95,1819,1100000
2400121,100,1819,1300000
2400122,97,1925,1180000
2400123,96,1440,1140000
2400124,101,2168,1366800
2400125,103,2325,1505200
2400126,102,2237,1435200
2400127,104,2416,1576800
2400128,105,2488,1657500
2400129,115,3411,3776250
2400130,104,2416,1576800
2400200,13,23,200
2400201,14,24,225
2400202,16,28,275
2400203,18,32,325
2400204,20,35,375
2400205,20,35,375
2400206,22,39,435
2400207,24,42,495
2400208,26,47,580
2400209,28,53,720
2400250,190,0,10541200
2400251,191,50203,10950000
2400252,192,51853,11349800
2400253,193,53520,11771000
2400254,194,55202,12198600
2400255,195,56902,12632600
2400256,196,58618,13056000
2400257,197,60344,13502400
2400258,198,62262,13955200
2400259,200,82257,446400000
2400260,196,0,13056000
2400261,197,0,13502400
2400262,198,0,13955200
2400263,200,0,446400000
2400265,199,64028,14414400
2400300,13,23,200
2400301,16,28,275
2400302,18,32,325
2400303,21,37,405
2400304,23,40,465
2400305,26,47,580
2400306,29,56,790
2400307,30,72,1800
2400308,33,86,2400
2400309,35,95,2800
2400310,37,103,3200
2400311,40,115,3800
2400312,42,124,4200
2400313,5,124,500
2400314,5,124,300
2400315,10,0,999
2400316,20,0,375
2400317,30,0,1800
2400318,35,0,2800
2400319,40,0,3800
2400320,200,0,330000000
2400321,200,0,330000000
2400322,42,0,4200
2400323,42,0,4200
2400324,42,0,4200
2400325,40,0,95000
2400326,5,0,300
2400327,5,0,300
2400400,9,15,110
2400401,17,30,300
2400402,21,37,405
2400403,23,40,465
2400404,25,44,525
2400405,26,47,580
2400406,27,50,650
2400407,10,50,125
2400408,14,24,225
2400409,20,35,375
2400410,10,35,125
2400411,28,53,720
2400412,29,56,790
2400413,2,10,20
2400414,75,581,19000
2400415,24,12,495
2400416,24,12,495
2400417,24,12,495
2400418,1,17,15
2400419,33,86,2400
2400420,32,82,2200
2400421,32,82,2200
2500000,50,156,13200
2500001,90,787,86400
2500002,140,3072,480000
2500003,170,5628,1080000
2500010,50,260,33000
2500011,90,1312,216000
2500012,140,5120,1200000
2500013,170,9380,2700000
2500020,50,1478,275000
2500021,90,5964,1800000
2500022,140,23273,10000000
2500023,170,37307,22500000
2500030,50,172,19800
2500031,90,866,129600
2500032,140,3379,720000
2500033,170,6191,1620000
2500040,50,286,49500
2500041,90,1443,324000
2500042,140,5632,1800000
2500043,170,10318,4050000
2500050,50,1625,550000
2500051,90,6560,3600000
2500052,140,25600,20000000
2500053,170,41038,45000000
2500100,50,164,15840
2500101,90,827,103680
2500102,140,3226,576000
2500103,170,5910,1296000
2500110,50,273,39600
2500111,90,1378,259200
2500112,140,5376,1440000
2500113,170,9849,3240000
2500120,50,1551,330000
2500121,90,6262,2160000
2500122,140,24437,12000000
2500123,170,39172,27000000
2500130,50,180,23760
2500131,90,909,155520
2500132,140,3548,864000
2500133,170,6501,1944000
2500140,50,301,59400
2500141,90,1516,388800
2500142,140,5914,2160000
2500143,170,10834,4860000
2500150,50,1707,660000
2500151,90,6888,4320000
2500152,140,26880,24000000
2500153,170,43090,54000000
2500200,50,840,100000
2500201,90,3360,500000
2500202,140,11520,2000000
2500203,170,16800,4000000
2500210,50,924,150000
2500211,90,3696,750000
2500212,140,12672,3000000
2500213,170,18480,6000000
2500220,50,1400,200000
2500221,90,5600,1000000
2500222,140,19200,4000000
2500223,170,28000,8000000
2500230,50,1540,300000
2500231,90,6160,1500000
2500232,140,21120,6000000
2500233,170,30800,12000000
2500240,50,7955,3333333
2500241,90,25455,16666667
2500242,140,87273,66666667
2500243,170,111364,133333333
2500250,50,8750,5000000
2500251,90,28000,25000000
2500252,140,96000,100000000
2500253,170,122500,200000000
2500300,50,900,135000
2500301,90,3600,675000
2500302,140,13200,3000000
2500303,170,23100,7125000
2500310,50,3000,540000
2500311,90,12000,2700000
2500312,140,44000,12000000
2500313,170,77000,28500000
2500320,50,27273,12000000
2500321,90,87273,60000000
2500322,140,320000,266666667
2500323,170,490000,633333333
2500330,50,1080,202500
2500331,90,4320,1012500
2500332,140,15840,4500000
2500333,170,27720,10687500
2500340,50,990,202500
2500341,90,3960,1012500
2500342,140,14520,4500000
2500343,170,25410,10687500
2500350,50,3300,810000
2500351,90,13200,4050000
2500352,140,48400,18000000
2500353,170,84700,42750000
2500360,50,30000,18000000
2500361,90,96000,90000000
2500362,140,352000,400000000
2500363,170,539000,950000000
2500370,50,1188,303750
2500371,90,4752,1518750
2500372,140,17424,6750000
2500373,170,30492,16031250
2500400,50,1440,216000
2500401,90,5280,1080000
2500402,140,21120,4800000
2500403,170,36960,11400000
2500410,50,2400,432000
2500411,90,8800,2160000
2500412,140,35200,9600000
2500413,170,61600,22800000
2500420,50,6000,1080000
2500421,90,22000,5400000
2500422,140,88000,24000000
2500423,170,154000,57000000
2500430,50,54546,24000000
2500431,90,160000,120000000
2500432,140,640000,533333333
2500433,170,980000,1266666667
2500440,50,1584,324000
2500441,90,5808,1620000
2500442,140,23232,7200000
2500443,170,40656,17100000
2500450,50,2640,648000
2500451,90,9680,3240000
2500452,140,38720,14400000
2500453,170,67760,34200000
2500460,50,6600,1620000
2500461,90,24200,8100000
2500462,140,96800,36000000
2500463,170,169400,85500000
2500470,50,60000,36000000
2500471,90,176000,180000000
2500472,140,704000,800000000
2500473,170,1078000,1900000000
2500500,50,1800,540000
2500501,90,6400,2700000
2500502,140,24000,12000000
2500503,170,40600,28500000
2500510,50,10228,6000000
2500511,90,29091,30000000
2500512,140,109091,133333333
2500513,170,161478,316666667
2500520,50,1980,810000
2500521,90,7040,4050000
2500522,140,26400,18000000
2500523,170,44660,42750000
2500530,50,11250,9000000
2500531,90,32000,45000000
2500532,140,120000,200000000
2500533,170,177625,475000000
2500600,50,567,103500
2500601,90,1815,517500
2500602,140,6653,2300000
2500603,170,10187,5462500
2500610,50,1890,414000
2500611,90,6048,2070000
2500612,140,22176,9200000
2500613,170,33957,21850000
2500620,50,6000,7245000
2500621,90,24000,36225000
2500622,140,88000,161000000
2500623,170,154000,382375000
2500630,50,7800,14490000
2500631,90,31200,72450000
2500632,140,114400,322000000
2500633,170,200200,764750000
2500640,50,2457,828000
2500641,90,7863,4140000
2500642,140,28829,18400000
2500643,170,44144,43700000
2500650,50,737,207000
2500651,90,2359,1035000
2500652,140,8649,4600000
2500653,170,13243,10925000
2500700,50,7955,3333333
2500701,90,25455,16666667
2500702,140,87273,66666667
2500703,170,111364,133333333
2500710,50,8750,5000000
2500711,90,28000,25000000
2500712,140,96000,100000000
2500713,170,122500,200000000
2500800,50,840,100000
2500801,90,3360,500000
2500802,140,11520,2000000
2500803,170,16800,4000000
2500810,50,1400,200000
2500811,90,5600,1000000
2500812,140,19200,4000000
2500813,170,28000,8000000
2500820,50,7955,3333333
2500821,90,25455,16666667
2500822,140,87273,66666667
2500823,170,111364,100000000
2500830,50,924,150000
2500831,90,3696,750000
2500832,140,12672,3000000
2500833,170,18480,6000000
2500840,50,1540,300000
2500841,90,6160,1500000
2500842,140,21120,6000000
2500843,170,30800,12000000
2500850,50,8750,5000000
2500851,90,28000,25000000
2500852,140,96000,100000000
2500853,170,122500,200000000
2500900,170,122500,2000000000
2500901,170,122500,2000000000
2500902,170,122500,2000000000
2500903,170,122500,2000000000
2500904,170,122500,2000000000
2500905,170,122500,2000000000
2500906,170,122500,2000000000
2501000,170,122500,2000000000
2501001,170,122500,2000000000
2501002,170,122500,2000000000
2501003,170,122500,2000000000
2501010,170,122500,2000000000
2501011,170,122500,2000000000
2501012,170,122500,2000000000
2501013,170,122500,2000000000
2510000,50,0,13200
2510001,90,0,86400
2510002,140,0,480000
2510003,170,0,1080000
2510010,50,0,33000
2510011,90,0,216000
2510012,140,0,1200000
2510013,170,0,2700000
2510020,50,0,19800
2510021,90,0,129600
2510022,140,0,720000
2510023,170,0,1620000
2510030,50,0,49500
2510031,90,0,324000
2510032,140,0,1800000
2510033,170,0,4050000
2510100,50,0,15840
2510101,90,0,103680
2510102,140,0,576000
2510103,170,0,1296000
2510110,50,0,39600
2510111,90,0,259200
2510112,140,0,1440000
2510113,170,0,3240000
2510120,50,0,23760
2510121,90,0,155520
2510122,140,0,864000
2510123,170,0,1944000
2510130,50,0,59400
2510131,90,0,388800
2510132,140,0,2160000
2510133,170,0,4860000
2510200,50,0,45000
2510201,90,0,95000
2510202,140,0,350000
2510203,170,0,600000
2510210,50,0,50000
2510211,90,0,100000
2510212,140,0,400000
2510213,170,0,650000
2600000,102,2853,198133
2600001,102,2853,198133
2600002,102,2853,198133
2600003,102,2853,198133
2600004,102,2853,198133
2600005,102,2853,198133
2600006,102,2853,198133
2600007,102,34975,1725000
2600008,104,3043,217920
2600009,104,3043,217920
2600010,104,3043,217920
2600011,104,3043,217920
2600012,104,3043,217920
2600013,104,3043,217920
2600014,104,3043,217920
2600015,104,36575,1825000
2600016,106,3235,238787
2600017,106,3235,238787
2600018,106,3235,238787
2600019,106,3235,238787
2600020,106,3235,238787
2600021,106,3235,238787
2600022,106,38150,1925000
2600023,108,3430,260760
2600024,108,3430,260760
2600025,108,3430,260760
2600026,108,3430,260760
2600027,108,3430,260760
2600028,108,3430,260760
2600029,108,3430,260760
2600030,108,39700,2025000
2600100,112,3828,308130
2600101,112,3828,308130
2600102,112,3828,308130
2600103,112,3828,308130
2600104,112,3828,308130
2600105,112,42725,2225000
2600106,114,4031,333581
2600107,114,4031,333581
2600108,114,4031,333581
2600109,114,4031,333581
2600110,114,4031,333581
2600111,114,44200,2325000
2600112,116,4236,360244
2600113,116,4236,360244
2600114,116,4236,360244
2600115,116,4236,360244
2600116,116,4236,360244
2600117,116,45650,2425000
2600118,118,4446,388145
2600119,118,4446,388145
2600120,118,4446,388145
2600121,118,4446,388145
2600122,118,4446,388145
2600123,118,4446,388145
2600125,118,47100,2525000
2600200,122,4870,447770
2600201,122,4870,447770
2600202,122,4870,447770
2600203,122,4870,447770
2600204,122,4870,447770
2600205,122,4870,447770
2600206,122,4870,447770
2600207,122,4870,447770
2600208,122,49900,2725000
2600209,124,5086,479546
2600210,124,5086,479546
2600211,124,5086,479546
2600212,124,5086,479546
2600213,124,5086,479546
2600214,124,51275,2825000
2600215,126,5347,517049
2600216,126,5347,517049
2600217,126,5347,517049
2600218,126,5347,517049
2600219,126,5347,517049
2600220,126,5347,517049
2600221,126,5347,517049
2600222,126,53050,2950000
2600223,128,5698,565248
2600224,128,5698,565248
2600225,128,5698,565248
2600226,128,5698,565248
2600227,128,5698,565248
2600228,128,5698,565248
2600229,128,5698,565248
2600230,128,5698,565248
2600231,128,55650,3125000
2600300,131,6429,663101
2600301,131,6429,663101
2600302,131,6429,663101
2600303,131,6429,663101
2600304,131,6429,663101
2600305,131,61350,3500000
2600306,133,6923,732324
2600307,133,6923,732324
2600308,133,6923,732324
2600309,133,6923,732324
2600310,133,6923,732324
2600311,133,65075,3750000
2600312,135,7425,804815
2600313,135,7425,804815
2600314,135,7425,804815
2600315,135,7425,804815
2600316,135,68750,4000000
2600317,137,7935,880641
2600318,137,7935,880641
2600319,137,7935,880641
2600320,137,7935,880641
2600321,137,72400,4250000
2600322,139,8448,959867
2600323,139,8448,959867
2600324,139,8448,959867
2600325,139,8448,959867
2600326,139,75975,4500000
2600400,142,9230,1085226
2600401,142,9230,1085226
2600402,142,9230,1085226
2600403,142,9230,1085226
2600404,142,9230,1085226
2600405,142,9230,1085226
2600406,142,81250,4875000
2600407,144,9760,1173242
2600408,144,9760,1173242
2600409,144,9760,1173242
2600410,144,9760,1173242
2600411,144,9760,1173242
2600412,144,84725,5125000
2600413,146,10295,1264891
2600414,146,10295,1264891
2600415,146,10295,1264891
2600416,146,10295,1264891
2600417,146,10295,1264891
2600418,146,10295,1264891
2600419,146,88150,5375000
2600420,148,10836,1360238
2600421,148,10836,1360238
2600422,148,10836,1360238
2600423,148,10836,1360238
2600424,148,10836,1360238
2600425,148,91525,5625000
2600500,152,12172,1594175
2600501,152,12172,1594175
2600502,152,12172,1594175
2600503,152,12172,1594175
2600504,152,100100,6250000
2600505,154,13203,1767316
2600506,154,13203,1767316
2600507,154,13203,1767316
2600508,154,13203,1767316
2600509,154,107175,6750000
2600510,156,14249,1947853
2600511,156,14249,1947853
2600512,156,14249,1947853
2600513,156,14249,1947853
2600514,156,114175,7250000
2600515,158,15303,2135919
2600516,158,15303,2135919
2600517,158,15303,2135919
2600518,158,121075,7750000
2600600,162,17450,2535170
2600601,162,17450,2535170
2600602,162,17450,2535170
2600603,162,17450,2535170
2600604,162,17450,2535170
2600605,162,17450,2535170
2600606,162,17450,2535170
2600607,162,134650,8750000
2600608,164,18541,2746619
2600609,164,18541,2746619
2600610,164,18541,2746619
2600611,164,18541,2746619
2600612,164,18541,2746619
2600613,164,141325,9250000
2600614,166,19641,2966127
2600615,166,19641,2966127
2600616,166,19641,2966127
2600617,166,19641,2966127
2600618,166,19641,2966127
2600619,166,19641,2966127
2600620,166,19641,2966127
2600621,166,19641,2966127
2600622,166,147900,9750000
2600623,168,20754,3193827
2600624,168,20754,3193827
2600625,168,20754,3193827
2600626,168,20754,3193827
2600627,168,20754,3193827
2600628,168,20754,3193827
2600629,168,20754,3193827
2600630,168,20754,3193827
2600631,168,20754,5125000
2600632,168,154425,5125000
2600700,173,23586,3799785
2600701,173,23586,3799785
2600702,173,23586,3799785
2600703,173,23586,3799785
2600704,173,23586,3799785
2600705,173,170425,11500000
2600706,176,25319,4189194
2600707,176,25319,4189194
2600708,176,25319,4189194
2600709,176,25319,4189194
2600710,176,179825,12250000
2600711,179,27075,4598524
2600712,179,27075,4598524
2600713,179,27075,4598524
2600714,179,27075,4598524
2600715,179,189075,13000000
2600800,180,189075,13250000
2600801,180,189075,13250000
2600900,180,307400,21200000
2600901,180,307400,21200000
2600902,180,307400,21200000
2600903,180,307400,21200000
2600904,180,307400,21200000
2600905,140,124400,7400000
2600906,140,124400,7400000
2600907,140,124400,7400000
2600908,140,124400,7400000
2600909,140,124400,7400000
2600910,140,248800,14800000
2600911,180,614800,42400000
2700000,10,64640,10000000
2700001,10,64640,10000000
2700002,10,64640,10000000
2700003,10,64640,10000000
2700004,10,64640,10000000
2700005,10,64640,10000000
2700006,10,64640,10000000
2700007,10,64640,10000000
2700008,10,64640,10000000
2700009,10,64640,10000000
2700010,50,900,135000
2700011,10,17,125
2700012,10,17,125
2700020,10,17,125
2700021,10,17,125
2700022,10,17,125
2700023,10,17,125
2700024,10,17,125
2700025,10,17,125
2700026,10,17,125
2700027,110,17,330000000
2700028,110,17,330000000
2700029,60,0,1
2700030,110,0,330000000
2700031,110,0,330000000
2700100,200,64640,10000000
2700101,200,64640,10000000
2700102,200,64640,10000000
2700103,200,64640,2100000000
2700104,200,64640,10000000
2700110,10,17,125
2700111,10,17,125
2700112,10,17,125
2700113,10,17,125
2700114,10,17,125
2700115,10,17,125
2700116,10,17,125
2700200,200,64640,10000000
2700201,200,64640,10000000
2700202,200,64640,10000000
2700203,200,64640,10000000
2700204,200,64640,10000000
2700300,10,0,9
2700301,110,0,3085500
2700302,10,0,9
2700303,13,23,200
2700304,14,24,225
2700305,15,26,250
2700306,16,28,1375
2700307,17,30,1500
2700308,17,30,1500
2700309,12,21,175
2700310,20,30,300
2700311,23,40,465
2700312,24,42,495
2700313,75,484,30000
2700314,77,584,38000
2700315,100,1561,126000
2700316,103,1789,150520
3000000,76,535,34000
3000001,13,27,200
3000002,13,27,200
3000003,13,27,200
3000004,13,27,200
3000005,112,2871,335085
3000006,77,584,38000
3000007,15,31,250
3100101,90,1188,90000
3100102,89,1145,86000
3110100,46,139,5040
3110101,112,2871,335085
3110102,93,1316,102000
3110300,91,1231,94000
3110301,90,1188,90000
3110302,92,1274,98000
3110303,93,1316,102000
3150000,31,77,1980
3150001,33,86,2400
3150002,35,95,2800
3210100,58,215,9800
3210200,70,355,20000
3210201,70,355,20000
3210202,70,355,20000
3210203,112,2871,335085
3210204,113,2963,348075
3210205,93,1316,102000
3210206,94,1358,106000
3210207,114,3055,362700
3210208,53,175,7200
3210450,78,635,42000
3210800,26,56,580
3220000,25,880,3750
3220001,90,30500,2250000
3230100,27,50,650
3230101,44,131,4600
3230102,26,47,580
3230103,96,1440,114000
3230104,78,635,42000
3230200,74,458,28000
3230300,15,26,250
3230301,15,26,250
3230302,95,1399,110000
3230303,94,1358,106000
3230304,94,1358,106000
3230305,113,2963,348075
3230306,115,3148,377625
3230307,94,1358,106000
3230308,94,1358,106000
3230400,94,1358,106000
3230405,78,635,42000
3300000,30,86,1800
3300001,31,91,1980
3300002,32,97,2200
3300003,33,103,2400
3300004,34,108,2600
3300005,35,0,70000
3300006,35,0,70000
3300007,35,0,70000
3300008,38,0,85000
3300100,60,233,11000
3300101,61,245,11800
3300102,62,256,12600
3300103,62,256,12600
3300104,63,266,13400
3300105,63,266,13400
3300106,64,278,14200
3300107,64,278,14200
3300108,65,289,15000
3300109,63,289,26800
3300110,65,289,70000
3300111,60,0,1
3300112,60,0,2000
3400000,37,124,3200
3400001,38,127,3400
3400002,39,133,3600
3400003,40,138,3800
3400004,37,6,600
3400005,40,138,3800
3400006,37,6,600
3400007,41,142,4000
3400008,41,142,4000
3401000,35,95,2800
3401001,35,95,2800
3401002,36,100,3000
3401003,36,100,3000
3401004,37,103,3200
3401005,38,107,3400
3401006,38,107,3400
3401007,39,112,3600
3401008,40,115,3800
3401009,41,119,4000
3401010,42,124,4200
3401011,45,124,160000
3501000,30,86,1800
3501001,31,91,1980
3501002,32,97,2200
3501003,32,97,2200
3501004,33,103,2400
3501005,34,108,2600
3501006,35,114,2800
3501007,35,114,2800
3501008,38,0,85000
3501009,32,97,2200
3502000,51,194,6400
3502001,51,194,6400
3502002,52,202,6800
3502003,52,202,6800
3502004,53,210,7200
3502005,53,210,7200
3502006,54,217,7600
3502007,54,217,7600
3502008,55,4960,335000
3503000,210,85029,19933200
3503001,212,89158,21036600
3503002,216,97386,23325000
3503003,220,106104,25748800
3503004,220,106104,25748800
3503005,222,110562,27016400
3503006,226,119943,29638000
3503007,228,124604,30992000
3503008,228,124604,30992000
3503009,230,129324,32374800
3503010,210,85029,19933200
3503011,1,0,1
3503012,210,85029,19933200
3503013,1,0,1
4090000,42,124,4200
4110300,91,1231,94000
4110301,92,1274,98000
4110302,93,1316,102000
4130100,66,302,16000
4130101,28,53,720
4130102,75,484,30000
4130103,98,7610,610000
4130104,75,484,30000
4220000,82,20675,1450000
4220001,82,20675,67000
4230100,28,53,720
4230101,28,64,720
4230102,45,134,4800
4230103,56,197,8600
4230104,27,50,650
4230105,75,484,30000
4230106,74,458,28000
4230107,122,3174,487230
4230108,132,16296,3784500
4230109,96,1440,114000
4230110,97,1481,118000
4230111,113,2963,348075
4230112,114,3055,362700
4230113,114,3055,362700
4230114,115,3148,377625
4230115,115,3148,377625
4230116,77,584,38000
4230117,78,635,42000
4230118,79,684,46000
4230119,73,433,26000
4230120,74,458,28000
4230121,75,484,30000
4230122,75,484,30000
4230123,80,732,50000
4230124,80,732,50000
4230125,62,256,12600
4230126,62,256,12600
4230127,165,17910,4142000
4230128,167,19084,4464000
4230129,169,20280,4796400
4230130,171,21579,5148000
4230131,173,22823,5510800
4230132,175,24173,5884800
4230133,176,24859,6076000
4230134,177,25551,6270000
4230137,178,26159,6466800
4230138,179,26864,6666400
4230139,190,26864,2000000000
4230140,110,26864,4970800
4230141,178,78477,32334000
4230142,180,82722,34344000
4230200,79,684,46000
4230201,79,684,46000
4230300,55,187,8000
4230400,57,206,9200
4230500,126,5102,675432
4230501,127,5230,697680
4230502,127,5230,697680
4230503,127,5230,697680
4230504,127,5230,697680
4230505,129,5737,779220
4230506,129,5737,779220
4230600,90,1188,90000
4240000,80,732,50000
4250000,98,1522,122000
4250001,98,1522,122000
4300000,42,1522,1
4300001,42,124,4200
4300002,42,124,1
4300003,42,124,4200
4300004,42,124,1
4300005,42,124,4200
4300006,43,127,4400
4300007,44,131,4600
4300008,45,134,4800
4300009,46,139,5040
4300010,47,143,5280
4300011,48,148,5520
4300012,49,151,5760
4300013,48,6150,138000
4300014,50,156,6000
4300015,50,156,6000
4300016,50,156,6000
4300017,48,156,1
4310000,145,8631,1326150
4310001,145,8631,1326150
4310002,146,8928,1373850
4310004,147,9186,1425600
4310005,148,9445,1478250
4310006,149,9752,1531800
4310007,150,10019,1586250
4310008,151,10286,1641600
4310009,152,10811,1732500
4310010,153,11294,1825200
4310011,154,11832,1919700
4310012,155,12325,2020200
4310013,155,12325,2020200
4310014,155,12325,2020200
4310015,155,0,202020000
4310016,151,0,164160000
4310017,155,36975,10101000
4310018,157,40143,11092500
4310019,159,43386,12144000
4310020,161,46692,17612000
4310021,162,48474,18375000
5090000,45,134,4800
5090001,128,114200,15375000
5100000,78,635,42000
5100001,117,635,406890
5100002,51,162,6400
5100003,58,215,9800
5100004,62,256,12600
5100005,60,233,11000
5100100,130,4996,684450
5100101,132,6518,756900
5100102,134,5911,834675
5100103,135,6138,876000
5100104,136,6369,915750
5100105,137,6369,300000
5100106,138,6836,1000125
5100107,139,7111,1042200
5100108,140,7352,1087800
5100109,137,6603,656250
5100200,132,1,3784500
5100201,132,1,3784500
5100202,132,1,3784500
5100203,132,1,5676750
5110300,94,1358,106000
5110301,95,1399,110000
5110302,95,1399,110000
5120000,74,458,28000
5120001,71,382,22000
5120002,71,382,22000
5120003,71,382,22000
5120100,76,535,34000
5120500,128,5482,738000
5120501,129,5737,779220
5120502,129,5737,779220
5120503,126,5102,675432
5120504,126,5102,675432
5120505,128,5482,738000
5120506,128,5482,738000
5120507,137,165075,23906250
5130100,67,316,17000
5130101,15,26,250
5130102,16,28,275
5130103,47,143,5280
5130104,80,732,50000
5130105,78,635,42000
5130106,119,635,437235
5130107,124,4012,522060
5130108,132,16296,3784500
5140000,81,780,54000
5150000,17,30,300
5150001,63,266,13400
5150002,18,38,325
5150003,19,39,350
5160000,75,581,36000
5160001,76,581,40800
5160002,79,821,55200
5160003,80,878,60000
5160004,77,701,45600
5160005,81,701,54000
5160006,80,701,50000
5200000,76,535,34000
5200001,76,535,34000
5200002,76,535,34000
5220000,40,960,19000
5220001,30,960,5000
5220002,30,600,9000
5220003,115,78700,9440625
5220004,132,135800,18922500
5250000,98,1522,122000
5250001,98,1522,122000
5250002,99,1561,126000
5250003,99,1561,126000
5250004,100,82450,4250000
5250005,100,1601,130000
5250006,100,1601,130000
5250007,102,179700,9500000
5300000,77,584,38000
5300001,77,584,38000
5300100,30,86,1800
5400000,77,584,38000
6090000,125,160620,7750000
6090001,82,20675,1450000
6090002,130,89928,13689000
6090003,70,17760,500000
6090004,95,8050,350000
6110300,94,1358,106000
6110301,95,1399,110000
6130100,68,329,18000
6130101,18,280,2500
6130102,120,5412,453600
6130103,79,684,46000
6130104,70,296,22200
6130200,115,9444,1888125
6130201,64,9444,14200
6130202,64,557,14200
6130203,128,5482,738000
6130204,130,5995,821340
6130207,128,5482,738000
6130208,130,5995,821340
6130209,128,5482,738000
6150000,81,780,54000
6160000,78,762,50400
6160001,81,936,64800
6160002,82,992,69600
6160003,83,34200,5520000
6160004,63,34200,1
6220000,50,3900,300000
6220001,82,26450,1050000
6230100,69,342,19000
6230101,73,361,30000
6230200,79,684,46000
6230201,121,5562,470265
6230300,116,9729,1956975
6230400,115,9444,1888125
6230401,72,408,24000
6230500,116,9729,1956975
6230600,68,329,18000
6230601,69,342,19000
6230602,64,278,14200
6300000,117,3339,406890
6300001,117,6678,406890
6300002,120,5412,453600
6300003,76,446,60000
6300004,66,200,38000
6300005,66,15100,800000
6300100,116,9729,1956975
6400000,119,3510,437235
6400001,119,7020,437235
6400002,121,5562,470265
6400003,69,285,9500
6400004,85,710,80000
6400005,44,10,50000
6400006,44,10,50000
6400007,48,10,2800
6400008,50,10,22500
6400009,50,10,21000
6400100,117,10017,2034450
6500000,72,408,24000
6500001,73,433,26000
6500002,74,458,28000
6500003,75,484,30000
6500004,76,535,34000
6500005,77,584,38000
6500006,78,635,42000
6500010,80,488,30000
6500011,80,488,2300000
6500012,80,28500,4600000
6500013,74,28500,14000
6500014,75,28500,15000
6500015,76,28500,17000
7090000,97,45850,2050000
7110300,95,1399,110000
7110301,95,1399,110000
7120100,130,118950,6750000
7120101,132,126450,7250000
7120102,134,133850,7750000
7120103,120,3007,453600
7120104,120,3007,453600
7120105,120,3007,453600
7120106,127,3632,581400
7120107,129,3984,649350
7120108,130,4163,684450
7120109,131,4344,720300
7120110,110,32980,1700000
7120111,120,38800,2100000
7120112,180,40000,4700000
7120113,190,45000,6600000
7120114,180,12000,1000000
7120115,190,18000,2000000
7130000,73,433,26000
7130001,134,17733,4173375
7130002,103,1789,150520
7130003,104,1858,157680
7130004,105,1914,165750
7130010,118,10242,2105850
7130020,106,1984,173250
7130100,70,355,20000
7130101,70,355,20000
7130102,120,5412,453600
7130103,65,289,15000
7130104,131,6254,864360
7130200,122,3808,487230
7130300,119,10530,2186175
7130400,66,400,25000
7130401,66,400,25000
7130402,66,400,25000
7130500,103,1789,150520
