id,level,exp,boss,HP,MP
2400012,41,162,0,7680,650
2400013,40,149,0,7892,300
2400014,41,155,0,8242,450
2400015,33,95,0,9000,200
2400016,34,100,0,18000,200
2400017,35,104,0,9400,200
2400018,36,109,0,16000,300
2400019,37,114,0,14000,300
2400020,38,120,0,19000,300
2400100,95,1819,0,220000,2600
2400101,96,1872,0,228000,2800
2400102,98,1978,0,244000,2800
2400103,96,1872,0,228000,2800
2400104,97,1925,0,236000,2800
2400105,99,2029,0,252000,2800
2400106,95,1819,0,220000,2600
2400107,100,2076,0,260000,2800
2400108,97,1925,0,236000,2800
2400109,96,1872,0,228000,2800
2400110,101,2168,0,273360,3000
2400111,103,2325,0,301040,20
2400112,102,2237,0,287040,3000
2400113,104,2416,0,315360,3000
2400114,105,2488,0,331500,3000
2400115,115,3411,0,755250,3000
2400116,106,2579,0,346500,3000
2400117,107,2672,0,361820,3000
2400118,106,2579,0,346500,3000
2400119,107,2672,0,361820,3000
2400120,95,1819,0,1100000,2600
2400121,100,1819,0,1300000,2800
2400122,97,1925,0,1180000,2800
2400123,96,1440,0,1140000,2800
2400124,101,2168,0,1366800,3000
2400125,103,2325,0,1505200,3000
2400126,102,2237,0,1435200,3000
2400127,104,2416,0,1576800,3000
2400128,105,2488,0,1657500,3000
2400129,115,3411,0,3776250,3000
2400130,104,2416,0,1576800,3000
2400200,13,23,0,200,20
2400201,14,24,0,225,20
2400202,16,28,0,275,40
2400203,18,32,0,325,40
2400204,20,35,0,375,40
2400205,20,35,0,375,40
2400206,22,39,0,435,80
2400207,24,42,0,495,80
2400208,26,47,0,580,120
2400209,28,53,0,720,120
2400250,190,0,0,10541200,25000
2400251,191,50203,0,10950000,30000
2400252,192,51853,0,11349800,30000
2400253,193,53520,0,11771000,30000
2400254,194,55202,0,12198600,30000
2400255,195,56902,0,12632600,30000
2400256,196,58618,0,13056000,30000
2400257,197,60344,0,13502400,30000
2400258,198,62262,0,13955200,30000
2400259,200,82257,1,446400000,30000
2400260,196,0,0,13056000,30000
2400261,197,0,0,13502400,30000
2400262,198,0,0,13955200,30000
2400263,200,0,1,446400000,30000
2400265,199,64028,0,14414400,30000
2400300,13,23,0,200,20
2400301,16,28,0,275,20
2400302,18,32,0,325,40
2400303,21,37,0,405,80
2400304,23,40,0,465,80
2400305,26,47,0,580,120
2400306,29,56,0,790,120
2400307,30,72,1,1800,120
2400308,33,86,1,2400,200
2400309,35,95,1,2800,200
2400310,37,103,1,3200,300
2400311,40,115,1,3800,300
2400312,42,124,1,4200,450
2400313,5,,1,500,
2400314,5,,1,300,
2400315,10,0,0,999,10
2400316,20,0,0,375,40
2400317,30,0,0,1800,120
2400318,35,0,0,2800,200
2400319,40,0,0,3800,300
2400320,200,,1,330000000,500
2400321,200,,1,330000000,500
2400322,42,0,1,4200,450
2400323,42,0,1,4200,450
2400324,42,0,1,4200,450
2400325,40,0,1,95000,300
2400326,5,,1,300,
2400327,5,,1,300,
2400400,9,15,0,110,10
2400401,17,30,0,300,40
2400402,21,37,0,405,80
2400403,23,40,0,465,80
2400404,25,44,0,525,80
2400405,26,47,0,580,120
2400406,27,50,0,650,120
2400407,10,,0,125,10
2400408,14,24,0,225,20
2400409,20,35,0,375,40
2400410,10,,0,125,10
2400411,28,53,0,720,120
2400412,29,56,0,790,120
2400413,2,10,0,20,0
2400414,75,581,0,19000,300
2400415,24,12,0,495,80
2400416,24,12,0,495,80
2400417,24,12,0,495,80
2400418,1,17,0,15,0
2400419,33,86,0,2400,200
2400420,32,82,0,2200,200
2400421,32,82,0,2200,200
2500000,50,156,1,13200,10000
2500001,90,787,1,86400,10000
2500002,140,3072,1,480000,10000
2500003,170,5628,1,1080000,40000
2500010,50,260,1,33000,20000
2500011,90,1312,1,216000,20000
2500012,140,5120,1,1200000,20000
2500013,170,9380,1,2700000,20000
2500020,50,1478,1,275000,30000
2500021,90,5964,1,1800000,30000
2500022,140,23273,1,10000000,30000
2500023,170,37307,1,22500000,30000
2500030,50,172,1,19800,10000
2500031,90,866,1,129600,10000
2500032,140,3379,1,720000,10000
2500033,170,6191,1,1620000,40000
2500040,50,286,1,49500,20000
2500041,90,1443,1,324000,20000
2500042,140,5632,1,1800000,20000
2500043,170,10318,1,4050000,20000
2500050,50,1625,1,550000,30000
2500051,90,6560,1,3600000,30000
2500052,140,25600,1,20000000,30000
2500053,170,41038,1,45000000,30000
2500100,50,164,1,15840,10000
2500101,90,827,1,103680,10000
2500102,140,3226,1,576000,10000
2500103,170,5910,1,1296000,40000
2500110,50,273,1,39600,20000
2500111,90,1378,1,259200,20000
2500112,140,5376,1,1440000,20000
2500113,170,9849,1,3240000,400000
2500120,50,1551,1,330000,30000
2500121,90,6262,1,2160000,30000
2500122,140,24437,1,12000000,30000
2500123,170,39172,1,27000000,500000
2500130,50,180,1,23760,10000
2500131,90,909,1,155520,10000
2500132,140,3548,1,864000,10000
2500133,170,6501,1,1944000,40000
2500140,50,301,1,59400,20000
2500141,90,1516,1,388800,20000
2500142,140,5914,1,2160000,20000
2500143,170,10834,1,4860000,400000
2500150,50,1707,1,660000,30000
2500151,90,6888,1,4320000,30000
2500152,140,26880,1,24000000,30000
2500153,170,43090,1,54000000,500000
2500200,50,840,1,100000,10000
2500201,90,3360,1,500000,10000
2500202,140,11520,1,2000000,10000
2500203,170,16800,1,4000000,10000
2500210,50,924,1,150000,10000
2500211,90,3696,1,750000,10000
2500212,140,12672,1,3000000,10000
2500213,170,18480,1,6000000,10000
2500220,50,1400,1,200000,20000
2500221,90,5600,1,1000000,20000
2500222,140,19200,1,4000000,20000
2500223,170,28000,1,8000000,20000
2500230,50,1540,1,300000,20000
2500231,90,6160,1,1500000,20000
2500232,140,21120,1,6000000,20000
2500233,170,30800,1,12000000,20000
2500240,50,7955,1,3333333,30000
2500241,90,25455,1,16666667,30000
2500242,140,87273,1,66666667,30000
2500243,170,111364,1,133333333,30000
2500250,50,8750,1,5000000,30000
2500251,90,28000,1,25000000,30000
2500252,140,96000,1,100000000,30000
2500253,170,122500,1,200000000,30000
2500300,50,900,1,135000,100000
2500301,90,3600,1,675000,100000
2500302,140,13200,1,3000000,100000
2500303,170,23100,1,7125000,100000
2500310,50,3000,1,540000,200000
2500311,90,12000,1,2700000,200000
2500312,140,44000,1,12000000,200000
2500313,170,77000,1,28500000,200000
2500320,50,27273,1,12000000,300000
2500321,90,87273,1,60000000,300000
2500322,140,320000,1,266666667,300000
2500323,170,490000,1,633333333,300000
2500330,50,1080,1,202500,100000
2500331,90,4320,1,1012500,100000
2500332,140,15840,1,4500000,100000
2500333,170,27720,1,10687500,100000
2500340,50,990,1,202500,100000
2500341,90,3960,1,1012500,100000
2500342,140,14520,1,4500000,100000
2500343,170,25410,1,10687500,100000
2500350,50,3300,1,810000,200000
2500351,90,13200,1,4050000,200000
2500352,140,48400,1,18000000,200000
2500353,170,84700,1,42750000,200000
2500360,50,30000,1,18000000,300000
2500361,90,96000,1,90000000,300000
2500362,140,352000,1,400000000,300000
2500363,170,539000,1,950000000,300000
2500370,50,1188,1,303750,100000
2500371,90,4752,1,1518750,100000
2500372,140,17424,1,6750000,100000
2500373,170,30492,1,16031250,100000
2500400,50,1440,1,216000,200000
2500401,90,5280,1,1080000,200000
2500402,140,21120,1,4800000,200000
2500403,170,36960,1,11400000,200000
2500410,50,2400,1,432000,200000
2500411,90,8800,1,2160000,200000
2500412,140,35200,1,9600000,200000
2500413,170,61600,1,22800000,200000
2500420,50,6000,1,1080000,300000
2500421,90,22000,1,5400000,300000
2500422,140,88000,1,24000000,300000
2500423,170,154000,1,57000000,300000
2500430,50,54546,1,24000000,400000
2500431,90,160000,1,120000000,400000
2500432,140,640000,1,533333333,400000
2500433,170,980000,1,1266666667,400000
2500440,50,1584,1,324000,200000
2500441,90,5808,1,1620000,200000
2500442,140,23232,1,7200000,200000
2500443,170,40656,1,17100000,200000
2500450,50,2640,1,648000,200000
2500451,90,9680,1,3240000,200000
2500452,140,38720,1,14400000,200000
2500453,170,67760,1,34200000,200000
2500460,50,6600,1,1620000,300000
2500461,90,24200,1,8100000,300000
2500462,140,96800,1,36000000,300000
2500463,170,169400,1,85500000,300000
2500470,50,60000,1,36000000,400000
2500471,90,176000,1,180000000,400000
2500472,140,704000,1,800000000,400000
2500473,170,1078000,1,1900000000,400000
2500500,50,1800,1,540000,300000
2500501,90,6400,1,2700000,300000
2500502,140,24000,1,12000000,300000
2500503,170,40600,1,28500000,300000
2500510,50,10228,1,6000000,400000
2500511,90,29091,1,30000000,400000
2500512,140,109091,1,133333333,400000
2500513,170,161478,1,316666667,400000
2500520,50,1980,1,810000,300000
2500521,90,7040,1,4050000,300000
2500522,140,26400,1,18000000,300000
2500523,170,44660,1,42750000,300000
2500530,50,11250,1,9000000,400000
2500531,90,32000,1,45000000,400000
2500532,140,120000,1,200000000,400000
2500533,170,177625,1,475000000,400000
2500600,50,567,1,103500,100000
2500601,90,1815,1,517500,100000
2500602,140,6653,1,2300000,100000
2500603,170,10187,1,5462500,100000
2500610,50,1890,1,414000,200000
2500611,90,6048,1,2070000,200000
2500612,140,22176,1,9200000,200000
2500613,170,33957,1,21850000,200000
2500620,50,6000,1,7245000,300000
2500621,90,24000,1,36225000,300000
2500622,140,88000,1,161000000,300000
2500623,170,154000,1,382375000,300000
2500630,50,7800,1,14490000,300000
2500631,90,31200,1,72450000,300000
2500632,140,114400,1,322000000,300000
2500633,170,200200,1,764750000,300000
2500640,50,2457,1,828000,200000
2500641,90,7863,1,4140000,200000
2500642,140,28829,1,18400000,200000
2500643,170,44144,1,43700000,200000
2500650,50,737,1,207000,100000
2500651,90,2359,1,1035000,100000
2500652,140,8649,1,4600000,100000
2500653,170,13243,1,10925000,100000
2500700,50,7955,1,3333333,30000
2500701,90,25455,1,16666667,30000
2500702,140,87273,1,66666667,30000
2500703,170,111364,1,133333333,30000
2500710,50,8750,1,5000000,30000
2500711,90,28000,1,25000000,30000
2500712,140,96000,1,100000000,30000
2500713,170,122500,1,200000000,30000
2500800,50,840,1,100000,10000
2500801,90,3360,1,500000,10000
2500802,140,11520,1,2000000,10000
2500803,170,16800,1,4000000,10000
2500810,50,1400,1,200000,20000
2500811,90,5600,1,1000000,20000
2500812,140,19200,1,4000000,20000
2500813,170,28000,1,8000000,20000
2500820,50,7955,1,3333333,30000
2500821,90,25455,1,16666667,30000
2500822,140,87273,1,66666667,30000
2500823,170,111364,1,100000000,30000
2500830,50,924,1,150000,10000
2500831,90,3696,1,750000,10000
2500832,140,12672,1,3000000,10000
2500833,170,18480,1,6000000,10000
2500840,50,1540,1,300000,20000
2500841,90,6160,1,1500000,20000
2500842,140,21120,1,6000000,20000
2500843,170,30800,1,12000000,20000
2500850,50,8750,1,5000000,30000
2500851,90,28000,1,25000000,30000
2500852,140,96000,1,100000000,30000
2500853,170,122500,1,200000000,30000
2500900,170,,0,2000000000,1000000000
2500901,170,,0,2000000000,1000000000
2500902,170,,0,2000000000,1000000000
2500903,170,,0,2000000000,1000000000
2500904,170,,0,2000000000,1000000000
2500905,170,,0,2000000000,1000000000
2500906,170,,0,2000000000,1000000000
2501000,170,,0,2000000000,1000000000
2501001,170,,0,2000000000,1000000000
2501002,170,,0,2000000000,1000000000
2501003,170,,0,2000000000,1000000000
2501010,170,,0,2000000000,1000000000
2501011,170,,0,2000000000,1000000000
2501012,170,,0,2000000000,1000000000
2501013,170,,0,2000000000,1000000000
2510000,50,0,0,13200,10000
2510001,90,0,0,86400,10000
2510002,140,0,0,480000,10000
2510003,170,0,0,1080000,40000
2510010,50,0,0,33000,20000
2510011,90,0,0,216000,20000
2510012,140,0,0,1200000,20000
2510013,170,0,0,2700000,20000
2510020,50,,0,19800,10000
2510021,90,,0,129600,10000
2510022,140,,0,720000,10000
2510023,170,,0,1620000,40000
2510030,50,,0,49500,20000
2510031,90,,0,324000,20000
2510032,140,,0,1800000,20000
2510033,170,,0,4050000,20000
2510100,50,0,0,15840,10000
2510101,90,0,0,103680,10000
2510102,140,0,0,576000,10000
2510103,170,0,0,1296000,40000
2510110,50,0,0,39600,20000
2510111,90,0,0,259200,20000
2510112,140,0,0,1440000,20000
2510113,170,0,0,3240000,400000
2510120,50,,0,23760,10000
2510121,90,,0,155520,10000
2510122,140,,0,864000,10000
2510123,170,,0,1944000,40000
2510130,50,,0,59400,20000
2510131,90,,0,388800,20000
2510132,140,,0,2160000,20000
2510133,170,,0,4860000,400000
2510200,50,,1,45000,10000
2510201,90,,1,95000,10000
2510202,140,,1,350000,10000
2510203,170,,1,600000,10000
2510210,50,,1,50000,20000
2510211,90,,1,100000,20000
2510212,140,,1,400000,20000
2510213,170,,1,650000,20000
2600000,102,2853,0,198133,8614
2600001,102,2853,0,198133,8614
2600002,102,2853,0,198133,8614
2600003,102,2853,0,198133,8614
2600004,102,2853,0,198133,8614
2600005,102,2853,0,198133,8614
2600006,102,2853,0,198133,8614
2600007,102,34975,1,1725000,75000
2600008,104,3043,0,217920,8955
2600009,104,3043,0,217920,8955
2600010,104,3043,0,217920,8955
2600011,104,3043,0,217920,8955
2600012,104,3043,0,217920,8955
2600013,104,3043,0,217920,8955
2600014,104,3043,0,217920,8955
2600015,104,36575,1,1825000,75000
2600016,106,3235,0,238787,9303
2600017,106,3235,0,238787,9303
2600018,106,3235,0,238787,9303
2600019,106,3235,0,238787,9303
2600020,106,3235,0,238787,9303
2600021,106,3235,0,238787,9303
2600022,106,38150,1,1925000,75000
2600023,108,3430,0,260760,9657
2600024,108,3430,0,260760,9657
2600025,108,3430,0,260760,9657
2600026,108,3430,0,260760,9657
2600027,108,3430,0,260760,9657
2600028,108,3430,0,260760,9657
2600029,108,3430,0,260760,9657
2600030,108,39700,1,2025000,75000
2600100,112,3828,0,308130,10386
2600101,112,3828,0,308130,10386
2600102,112,3828,0,308130,10386
2600103,112,3828,0,308130,10386
2600104,112,3828,0,308130,10386
2600105,112,42725,1,2225000,75000
2600106,114,4031,0,333581,10760
2600107,114,4031,0,333581,10760
2600108,114,4031,0,333581,10760
2600109,114,4031,0,333581,10760
2600110,114,4031,0,333581,10760
2600111,114,44200,1,2325000,75000
2600112,116,4236,0,360244,11141
2600113,116,4236,0,360244,11141
2600114,116,4236,0,360244,11141
2600115,116,4236,0,360244,11141
2600116,116,4236,0,360244,11141
2600117,116,45650,1,2425000,75000
2600118,118,4446,0,388145,11529
2600119,118,4446,0,388145,11529
2600120,118,4446,0,388145,11529
2600121,118,4446,0,388145,11529
2600122,118,4446,0,388145,11529
2600123,118,4446,0,388145,11529
2600125,118,47100,1,2525000,75000
2600200,122,4870,0,447770,16431
2600201,122,4870,0,447770,16431
2600202,122,4870,0,447770,16431
2600203,122,4870,0,447770,16431
2600204,122,4870,0,447770,16431
2600205,122,4870,0,447770,16431
2600206,122,4870,0,447770,16431
2600207,122,4870,0,447770,16431
2600208,122,49900,1,2725000,100000
2600209,124,5086,0,479546,16975
2600210,124,5086,0,479546,16975
2600211,124,5086,0,479546,16975
2600212,124,5086,0,479546,16975
2600213,124,5086,0,479546,16975
2600214,124,51275,1,2825000,100000
2600215,126,5347,0,517049,17527
2600216,126,5347,0,517049,17527
2600217,126,5347,0,517049,17527
2600218,126,5347,0,517049,17527
2600219,126,5347,0,517049,17527
2600220,126,5347,0,517049,17527
2600221,126,5347,0,517049,17527
2600222,126,1,1,2950000,100000
2600223,128,5698,0,565248,18087
2600224,128,5698,0,565248,18087
2600225,128,5698,0,565248,18087
2600226,128,5698,0,565248,18087
2600227,128,5698,0,565248,18087
2600228,128,5698,0,565248,18087
2600229,128,5698,0,565248,18087
2600230,128,5698,0,565248,18087
2600231,128,55650,1,3125000,100000
2600300,131,6429,0,663101,18945
2600301,131,6429,0,663101,18945
2600302,131,6429,0,663101,18945
2600303,131,6429,0,663101,18945
2600304,131,6429,0,663101,18945
2600305,131,61350,1,3500000,100000
2600306,133,6923,0,732324,19528
2600307,133,6923,0,732324,19528
2600308,133,6923,0,732324,19528
2600309,133,6923,0,732324,19528
2600310,133,6923,0,732324,19528
2600311,133,65075,1,3750000,100000
2600312,135,7425,0,804815,20120
2600313,135,7425,0,804815,20120
2600314,135,7425,0,804815,20120
2600315,135,7425,0,804815,20120
2600316,135,68750,1,4000000,100000
2600317,137,7935,0,880641,31081
2600318,137,7935,0,880641,31081
2600319,137,7935,0,880641,31081
2600320,137,7935,0,880641,31081
2600321,137,72400,1,4250000,150000
2600322,139,8448,0,959867,31995
2600323,139,8448,0,959867,31995
2600324,139,8448,0,959867,31995
2600325,139,8448,0,959867,31995
2600326,139,75975,1,4500000,150000
2600400,142,9230,0,1085226,44522
2600401,142,9230,0,1085226,44522
2600402,142,9230,0,1085226,44522
2600403,142,9230,0,1085226,44522
2600404,142,9230,0,1085226,44522
2600405,142,9230,0,1085226,44522
2600406,142,81250,1,4875000,200000
2600407,144,9760,0,1173242,45785
2600408,144,9760,0,1173242,45785
2600409,144,9760,0,1173242,45785
2600410,144,9760,0,1173242,45785
2600411,144,9760,0,1173242,45785
2600412,144,84725,1,5125000,200000
2600413,146,10295,0,1264891,58832
2600414,146,10295,0,1264891,58832
2600415,146,10295,0,1264891,58832
2600416,146,10295,0,1264891,58832
2600417,146,10295,0,1264891,58832
2600418,146,10295,0,1264891,58832
2600419,146,88150,1,5375000,250000
2600420,148,10836,0,1360238,60455
2600421,148,10836,0,1360238,60455
2600422,148,10836,0,1360238,60455
2600423,148,10836,0,1360238,60455
2600424,148,10836,0,1360238,60455
2600425,148,91525,1,5625000,250000
2600500,152,12172,0,1594175,76520
2600501,152,12172,0,1594175,76520
2600502,152,12172,0,1594175,76520
2600503,152,12172,0,1594175,76520
2600504,152,100100,1,6250000,300000
2600505,154,13203,0,1767316,78547
2600506,154,13203,0,1767316,78547
2600507,154,13203,0,1767316,78547
2600508,154,13203,0,1767316,78547
2600509,154,107175,1,6750000,300000
2600510,156,14249,0,1947853,94034
2600511,156,14249,0,1947853,94034
2600512,156,14249,0,1947853,94034
2600513,156,14249,0,1947853,94034
2600514,156,114175,1,7250000,350000
2600515,158,15303,0,2135919,96460
2600516,158,15303,0,2135919,96460
2600517,158,15303,0,2135919,96460
2600518,158,121075,1,7750000,350000
2600600,162,17450,0,2535170,115893
2600601,162,17450,0,2535170,115893
2600602,162,17450,0,2535170,115893
2600603,162,17450,0,2535170,115893
2600604,162,17450,0,2535170,115893
2600605,162,17450,0,2535170,115893
2600606,162,17450,0,2535170,115893
2600607,162,1,1,8750000,400000
2600608,164,18541,0,2746619,118772
2600609,164,18541,0,2746619,118772
2600610,164,18541,0,2746619,118772
2600611,164,18541,0,2746619,118772
2600612,164,18541,0,2746619,118772
2600613,164,141325,1,9250000,400000
2600614,166,19641,0,2966127,136898
2600615,166,19641,0,2966127,136898
2600616,166,19641,0,2966127,136898
2600617,166,19641,0,2966127,136898
2600618,166,19641,0,2966127,136898
2600619,166,19641,0,2966127,136898
2600620,166,19641,0,2966127,136898
2600621,166,19641,0,2966127,136898
2600622,166,147900,1,9750000,450000
2600623,168,20754,0,3193827,140216
2600624,168,20754,0,3193827,140216
2600625,168,20754,0,3193827,140216
2600626,168,20754,0,3193827,140216
2600627,168,20754,0,3193827,140216
2600628,168,20754,0,3193827,140216
2600629,168,20754,0,3193827,140216
2600630,168,20754,0,3193827,140216
2600631,168,,1,5125000,225000
2600632,168,154425,1,5125000,225000
2600700,173,23586,0,3799785,165208
2600701,173,23586,0,3799785,165208
2600702,173,23586,0,3799785,165208
2600703,173,23586,0,3799785,165208
2600704,173,23586,0,3799785,165208
2600705,173,170425,1,11500000,500000
2600706,176,25319,0,4189194,170987
2600707,176,25319,0,4189194,170987
2600708,176,25319,0,4189194,170987
2600709,176,25319,0,4189194,170987
2600710,176,179825,1,12250000,500000
2600711,179,27075,0,4598524,176866
2600712,179,27075,0,4598524,176866
2600713,179,27075,0,4598524,176866
2600714,179,27075,0,4598524,176866
2600715,179,189075,1,13000000,500000
2600800,180,1,1,13250000,500000
2600801,180,1,1,13250000,500000
2600900,180,1,0,21200000,800000
2600901,180,1,0,21200000,800000
2600902,180,1,0,21200000,800000
2600903,180,1,0,21200000,800000
2600904,180,1,0,21200000,800000
2600905,140,1,0,7400000,240000
2600906,140,1,0,7400000,240000
2600907,140,1,0,7400000,240000
2600908,140,1,0,7400000,240000
2600909,140,1,0,7400000,240000
2600910,140,248800,1,14800000,480000
2600911,180,614800,1,42400000,1600000
2700000,10,64640,0,10000000,25000
2700001,10,64640,0,10000000,25000
2700002,10,64640,0,10000000,25000
2700003,10,64640,0,10000000,25000
2700004,10,64640,0,10000000,25000
2700005,10,64640,0,10000000,25000
2700006,10,64640,0,10000000,25000
2700007,10,64640,0,10000000,25000
2700008,10,64640,0,10000000,25000
2700009,10,64640,0,10000000,25000
2700010,50,900,1,135000,100000
2700011,10,17,0,125,10
2700012,10,17,0,125,10
2700020,10,17,0,125,10
2700021,10,17,0,125,10
2700022,10,17,0,125,10
2700023,10,17,0,125,10
2700024,10,17,0,125,10
2700025,10,17,0,125,10
2700026,10,17,0,125,10
2700027,110,,1,330000000,500
2700028,110,,1,330000000,500
2700029,60,0,0,1,1
2700030,110,,1,330000000,500
2700031,110,,1,330000000,500
2700100,200,64640,1,10000000,25000
2700101,200,64640,1,10000000,25000
2700102,200,64640,1,10000000,25000
2700103,200,64640,1,2100000000,25000
2700104,200,64640,1,10000000,25000
2700110,10,17,1,125,10
2700111,10,17,1,125,10
2700112,10,17,1,125,10
2700113,10,17,1,125,10
2700114,10,17,1,125,10
2700115,10,17,1,125,10
2700116,10,17,1,125,10
2700200,200,64640,1,10000000,25000
2700201,200,64640,1,10000000,25000
2700202,200,64640,1,10000000,25000
2700203,200,64640,1,10000000,25000
2700204,200,64640,1,10000000,25000
2700300,10,0,0,9,
2700301,110,,1,3085500,3000
2700302,10,0,0,9,
2700303,13,23,0,200,20
2700304,14,24,0,225,20
2700305,15,26,0,250,20
2700306,16,28,0,1375,40
2700307,17,30,0,1500,40
2700308,17,30,0,1500,40
2700309,12,21,0,175,
2700310,20,30,0,300,40
2700311,23,40,0,465,80
2700312,24,42,0,495,80
2700313,75,484,0,30000,1800
2700314,77,584,0,38000,2000
2700315,100,1561,0,126000,2800
2700316,103,1789,0,150520,3000
3000000,76,535,0,34000,2000
3000001,13,27,0,200,20
3000002,13,27,0,200,20
3000003,13,27,0,200,20
3000004,13,27,0,200,20
3000005,112,2871,0,335085,3000
3000006,77,584,0,38000,2000
3000007,15,31,0,250,20
3100101,90,1188,0,90000,2400
3100102,89,1145,0,86000,2400
3110100,46,139,0,5040,600
3110101,112,2871,0,335085,3000
3110102,93,1316,0,102000,2600
3110300,91,1231,0,94000,2600
3110301,90,1188,0,90000,2400
3110302,92,1274,0,98000,2600
3110303,93,1316,0,102000,2600
3150000,31,77,0,1980,200
3150001,33,86,0,2400,200
3150002,35,95,0,2800,200
3210100,58,215,0,9800,1000
3210200,70,355,0,20000,1500
3210201,70,355,0,20000,1500
3210202,70,355,0,20000,1500
3210203,112,2871,0,335085,3000
3210204,113,2963,0,348075,3000
3210205,93,1316,0,102000,2600
3210206,94,1358,0,106000,2600
3210207,114,3055,0,362700,3000
3210208,53,175,0,7200,800
3210450,78,635,0,42000,2000
3210800,26,56,0,580,120
3220000,25,880,1,3750,400
3220001,90,30500,1,2250000,100000
3230100,27,50,0,650,120
3230101,44,131,0,4600,450
3230102,26,47,0,580,120
3230103,96,1440,0,114000,2800
3230104,78,635,0,42000,2000
3230200,74,458,0,28000,1800
3230300,15,26,0,250,20
3230301,15,26,0,250,20
3230302,95,1399,0,110000,2600
3230303,94,1358,0,106000,2600
3230304,94,1358,0,106000,2600
3230305,113,2963,0,348075,3000
3230306,115,3148,0,377625,3000
3230307,94,1358,0,106000,2600
3230308,94,1358,0,106000,2600
3230400,94,1358,0,106000,2600
3230405,78,635,0,42000,2000
3300000,30,86,0,1800,120
3300001,31,91,0,1980,200
3300002,32,97,0,2200,200
3300003,33,103,0,2400,200
3300004,34,108,0,2600,200
3300005,35,1,1,70000,1000
3300006,35,1,1,70000,1000
3300007,35,1,1,70000,1000
3300008,38,0,1,85000,15000
3300100,60,233,0,11000,1000
3300101,61,245,0,11800,1200
3300102,62,256,0,12600,1200
3300103,62,256,0,12600,1200
3300104,63,266,0,13400,1200
3300105,63,266,0,13400,1200
3300106,64,278,0,14200,1200
3300107,64,278,0,14200,1200
3300108,65,289,0,15000,1200
3300109,63,,0,26800,1200
3300110,65,1,1,70000,1000
3300111,60,0,0,1,1
3300112,60,,1,2000,2000
3400000,37,124,0,3200,300
3400001,38,127,0,3400,300
3400002,39,133,0,3600,300
3400003,40,138,0,3800,300
3400004,37,6,0,600,200
3400005,40,138,0,3800,300
3400006,37,6,0,600,200
3400007,41,142,0,4000,450
3400008,41,142,0,4000,450
3401000,35,95,0,2800,200
