"id","name","level","exp","boss","HP","MP","exp_div_hp"
"2230108","Pinboom","75","484","0","30000","1800","0.016133333333333333"
"2230109","Bubble Fish","77","584","0","38000","2000","0.015368421052631578"
"2230110","Wooden Mask","60","233","0","11000","1000","0.02118181818181818"
"2230111","Rocky Mask","61","245","0","11800","1200","0.02076271186440678"
"2230112","Terrified Wild Boar","55","187","0","8000","800","0.023375"
"2230113","Surgeon Eye","29","56","0","790","120","0.07088607594936709"
"2230114","Muddy Swamp Monster","49","151","0","5760","600","0.02621527777777778"
"2230115","Muddy Sprout Monster","50","156","0","6000","800","0.026"
"2230131","Annoyed Zombie Mushroom","65","289","0","15000","1200","0.019266666666666668"
"2230200","Flower Fish","77","584","0","38000","2000","0.015368421052631578"
"2300100","Stirge","43","127","0","4400","450","0.028863636363636362"
"2400000","Sleepy Grobbler","13","32","0","350","20","0.09142857142857143"
"2400001","Alert Grobbler","20","48","0","700","40","0.06857142857142857"
"2400002","Grumpy Grobbler","23","54","0","930","80","0.05806451612903226"
"2400003","Limestone Tokka","15","38","0","500","20","0.076"
"2400004","Amethyst Tokka","22","51","0","870","20","0.05862068965517241"
"2400005","Laloong","21","49","0","810","20","0.06049382716049383"
"2400006","Kaloong","24","57","0","990","80","0.05757575757575758"
"2400007","Nefarious Monk Initiate","27","65","0","1276","120","0.050940438871473356"
"2400008","Nefarious Monk Apprentice","28","67","0","1411","120","0.04748405386250886"
"2400009","Nefarious Monk Master","29","69","0","1491","120","0.04627766599597585"
"2400010","Heretic Monk Initiate","39","148","0","7098","420","0.020850943927867006"
"2400011","Heretic Monk Apprentice","40","157","0","7440","500","0.02110215053763441"
"2400012","Heretic Leader","41","162","0","7680","650","0.02109375"
"2400013","Onyx Stonegar","40","149","0","7892","300","0.018879878357830716"
"2400014","Gravi Stonegar","41","155","0","8242","450","0.01880611502062606"
"2400015","Faded Specter Battle Hound","33","95","0","9000","200","0.010555555555555556"
"2400016","Faded Specter Shieldbearer","34","100","0","18000","200","0.005555555555555556"
"2400017","Faded Guerrilla Specter","35","104","0","9400","200","0.011063829787234043"
"2400018","Faded Warrior Specter","36","109","0","16000","300","0.0068125"
"2400019","Faded Magician Specter","37","114","0","14000","300","0.008142857142857143"
"2400020","Faded Reaper Specter","38","120","0","19000","300","0.00631578947368421"
"2400100","Blue Speeyor","95","1819","0","220000","2600","0.008268181818181819"
"2400101","Red Speeyor","96","1872","0","228000","2800","0.008210526315789474"
"2400102","Yellow Speeyor","98","1978","0","244000","2800","0.00810655737704918"
"2400103","Dinogoth","96","1872","0","228000","2800","0.008210526315789474"
"2400104","Dinoram","97","1925","0","236000","2800","0.008156779661016949"
"2400105","Dinodon","99","2029","0","252000","2800","0.008051587301587301"
"2400106","Specter Battle Hound","95","1819","0","220000","2600","0.008268181818181819"
"2400107","Specter Tamer","100","2076","0","260000","2800","0.007984615384615385"
"2400108","Specter Miner","97","1925","0","236000","2800","0.008156779661016949"
"2400109","Specter Shieldbearer","96","1872","0","228000","2800","0.008210526315789474"
"2400110","Guerrilla Specter","101","2168","0","273360","3000","0.007930933567456833"
"2400111","Power Specter","103","2325","0","301040","20","0.0077232261493489236"
"2400112","Specter Engineer","102","2237","0","287040","3000","0.007793338907469342"
"2400113","Warrior Specter","104","2416","0","315360","3000","0.007661085743277524"
"2400114","Magician Specter","105","2488","0","331500","3000","0.0075052790346908"
"2400115","Reaper Specter","115","3411","0","755250","3000","0.004516385302879841"
"2400116","Red Totem Staff","106","2579","0","346500","3000","0.007443001443001443"
"2400117","Blue Totem Staff","107","2672","0","361820","3000","0.0073848875131280745"
"2400118","Purple Reagent Rock","106","2579","0","346500","3000","0.007443001443001443"
"2400119","Red Reagent Rock","107","2672","0","361820","3000","0.0073848875131280745"
"2400120","Specter Battle Hound","95","1819","0","1100000","2600","0.0016536363636363636"
"2400121","Specter Tamer","100","1819","0","1300000","2800","0.0013992307692307691"
"2400122","Specter Miner","97","1925","0","1180000","2800","0.00163135593220339"
"2400123","Specter Shieldbearer","96","1440","0","1140000","2800","0.0012631578947368421"
"2400124","Guerrilla Specter","101","2168","0","1366800","3000","0.0015861867134913667"
"2400125","Power Specter","103","2325","0","1505200","3000","0.0015446452298697848"
"2400126","Specter Engineer","102","2237","0","1435200","3000","0.0015586677814938684"
"2400127","Warrior Specter","104","2416","0","1576800","3000","0.0015322171486555048"
"2400128","Magician Specter","105","2488","0","1657500","3000","0.0015010558069381598"
"2400129","Reaper Specter","115","3411","0","3776250","3000","9.032770605759683E-4"
"2400130","Warrior Specter","104","2416","0","1576800","3000","0.0015322171486555048"
"2400200","Caterpillar","13","23","0","200","20","0.115"
"2400201","Lady Bug","14","24","0","225","20","0.10666666666666667"
"2400202","Sparrow","16","28","0","275","40","0.10181818181818182"
"2400203","Balloon Mouse","18","32","0","325","40","0.09846153846153846"
"2400204","Red Poison Frog","20","35","0","375","40","0.09333333333333334"
"2400205","Green Poison Frog","20","35","0","375","40","0.09333333333333334"
"2400206","Delinquent Chick","22","39","0","435","80","0.0896551724137931"
"2400207","Punk Chick","24","42","0","495","80","0.08484848484848485"
"2400208","Mane Fur Hyena","26","47","0","580","120","0.08103448275862069"
"2400209","Fang Hyena","28","53","0","720","120","0.07361111111111111"
"2400250","Noxious Froggie","190","0","0","10541200","25000","0.0"
"2400251","Flutterbuzz","191","50203","0","10950000","30000","0.004584748858447489"
"2400252","Pom Puff Bush","192","51853","0","11349800","30000","0.0045686267599429065"
"2400253","Spiney Puff Bush","193","53520","0","11771000","30000","0.004546767479398522"
"2400254","Nettled Squirrel","194","55202","0","12198600","30000","0.004525273392028593"
"2400255","Vicious Squirrel","195","56902","0","12632600","30000","0.004504377562813673"
"2400256","Snowy Stjartmes","196","58618","0","13056000","30000","0.004489736519607843"
"2400257","Stormy Stjartmes","197","60344","0","13502400","30000","0.004469131413674606"
"2400258","Cloud Guardian","198","62262","0","13955200","30000","0.00446156271497363"
"2400259","Sky Guardian","200","82257","1","446400000","30000","1.8426747311827958E-4"
"2400260","Snowy Stjartmes","196","0","0","13056000","30000","0.0"
"2400261","Stormy Stjartmes","197","0","0","13502400","30000","0.0"
"2400262","Cloud Guardian","198","0","0","13955200","30000","0.0"
"2400263","Sky Guardian","200","0","1","446400000","30000","0.0"
"2400265","Wind Guardian","199","64028","0","14414400","30000","0.004441946941946942"
"2400300","Hedgehog","13","23","0","200","20","0.115"
"2400301","Mutant Hedgehog","16","28","0","275","20","0.10181818181818182"
"2400302","Nutria","18","32","0","325","40","0.09846153846153846"
"2400303","Black Market Hoodlum","21","37","0","405","80","0.09135802469135802"
"2400304","Ooze Waste","23","40","0","465","80","0.08602150537634409"
"2400305","Flame Waste","26","47","0","580","120","0.08103448275862069"
"2400306","Scrap Iron Waste","29","56","0","790","120","0.07088607594936709"
"2400307","Specter Stray Dog","30","72","1","1800","120","0.04"
"2400308","Mutant Nutria","33","86","1","2400","200","0.035833333333333335"
"2400309","Garbage Dump Hoodlum","35","95","1","2800","200","0.033928571428571426"
"2400310","Mutant Specter Stray Dog","37","103","1","3200","300","0.0321875"
"2400311","Hazard's Rotten Crony","40","115","1","3800","300","0.030263157894736843"
"2400312","Hazard's Mean Crony","42","124","1","4200","450","0.029523809523809525"
"2400313","Smashed Garbage","5","","1","500","",""
"2400314","Crushed Garbage","5","","1","300","",""
"2400315","Hoodlum","10","0","0","999","10","0.0"
"2400316","Black Market Hoodlum","20","0","0","375","40","0.0"
"2400317","Hazard's Vile Crony","30","0","0","1800","120","0.0"
"2400318","Hazard's Rotten Crony","35","0","0","2800","200","0.0"
"2400319","Hazard's Mean Crony","40","0","0","3800","300","0.0"
"2400320","Hazard's Mean Crony","200","","1","330000000","500",""
"2400321","Specter Stray Dog","200","","1","330000000","500",""
"2400322","Faded Magician Specter","42","0","1","4200","450","0.0"
"2400323","Faded Warrior Specter","42","0","1","4200","450","0.0"
"2400324","Faded Reaper Specter","42","0","1","4200","450","0.0"
"2400325","Mr. Hazard","40","0","1","95000","300","0.0"
"2400326","Smashed Garbage","5","","1","300","",""
"2400327","Crushed Garbage","5","","1","300","",""
"2400400","Green Grossular","9","15","0","110","10","0.13636363636363635"
"2400401","Purple Amethyst","17","30","0","300","40","0.1"
"2400402","Fire Pyrope","21","37","0","405","80","0.09135802469135802"
"2400403","Dark Obsidian","23","40","0","465","80","0.08602150537634409"
"2400404","Shining Gold","25","44","0","525","80","0.0838095238095238"
"2400405","Shining Vinegold","26","47","0","580","120","0.08103448275862069"
"2400406","Blue Larimar","27","50","0","650","120","0.07692307692307693"
"2400407","Practice Robot","10","","0","125","10",""
"2400408","Moving Practice Robot","14","24","0","225","20","0.10666666666666667"
"2400409","Tainted Practice Robot","20","35","0","375","40","0.09333333333333334"
"2400410","Enhanced Moving Practice Robot","10","","0","125","10",""
"2400411","Warrior Specter","28","53","0","720","120","0.07361111111111111"
"2400412","Magician Specter","29","56","0","790","120","0.07088607594936709"
"2400413","Mutant Hedgehog","2","10","0","20","0","0.5"
"2400414","Reaper Specter","75","581","0","19000","300","0.030578947368421053"
"2400415","Sanctuary Mytocrystal","24","12","0","495","80","0.024242424242424242"
"2400416","Sanctuary Mytocrystal","24","12","0","495","80","0.024242424242424242"
"2400417","Sanctuary Mytocrystal","24","12","0","495","80","0.024242424242424242"
"2400418","Mutant Hedgehog","1","17","0","15","0","1.1333333333333333"
"2400419","Hoodlum","33","86","0","2400","200","0.035833333333333335"
"2400420","Tainted Practice Robot","32","82","0","2200","200","0.03727272727272727"
"2400421","Enhanced Tainted Practice Robot","32","82","0","2200","200","0.03727272727272727"
"2500000","Skeletrooper","50","156","1","13200","10000","0.011818181818181818"
"2500001","Skeletrooper","90","787","1","86400","10000","0.009108796296296297"
"2500002","Skeletrooper","140","3072","1","480000","10000","0.0064"
"2500003","Skeletrooper","170","5628","1","1080000","40000","0.005211111111111111"
"2500010","Elite Skeletrooper","50","260","1","33000","20000","0.00787878787878788"
"2500011","Elite Skeletrooper","90","1312","1","216000","20000","0.006074074074074074"
"2500012","Elite Skeletrooper","140","5120","1","1200000","20000","0.004266666666666667"
"2500013","Elite Skeletrooper","170","9380","1","2700000","20000","0.003474074074074074"
"2500020","Infernal Skeletrooper","50","1478","1","275000","30000","0.005374545454545455"
"2500021","Infernal Skeletrooper","90","5964","1","1800000","30000","0.0033133333333333335"
"2500022","Infernal Skeletrooper","140","23273","1","10000000","30000","0.0023273"
"2500023","Infernal Skeletrooper","170","37307","1","22500000","30000","0.001658088888888889"
"2500030","Skeletrooper","50","172","1","19800","10000","0.008686868686868687"
"2500031","Skeletrooper","90","866","1","129600","10000","0.006682098765432099"
"2500032","Skeletrooper","140","3379","1","720000","10000","0.004693055555555555"
"2500033","Skeletrooper","170","6191","1","1620000","40000","0.003821604938271605"
"2500040","Elite Skeletrooper","50","286","1","49500","20000","0.0057777777777777775"
"2500041","Elite Skeletrooper","90","1443","1","324000","20000","0.004453703703703704"
"2500042","Elite Skeletrooper","140","5632","1","1800000","20000","0.003128888888888889"
"2500043","Elite Skeletrooper","170","10318","1","4050000","20000","0.0025476543209876543"
"2500050","Infernal Skeletrooper","50","1625","1","550000","30000","0.0029545454545454545"
"2500051","Infernal Skeletrooper","90","6560","1","3600000","30000","0.0018222222222222223"
"2500052","Infernal Skeletrooper","140","25600","1","20000000","30000","0.00128"
"2500053","Infernal Skeletrooper","170","41038","1","45000000","30000","9.119555555555555E-4"
"2500100","Spearman Skeleknight","50","164","1","15840","10000","0.010353535353535354"
"2500101","Spearman Skeleknight","90","827","1","103680","10000","0.007976466049382716"
"2500102","Spearman Skeleknight","140","3226","1","576000","10000","0.005600694444444445"
"2500103","Spearman Skeleknight","170","5910","1","1296000","40000","0.004560185185185185"
"2500110","Elite Spearman Skeleknight","50","273","1","39600","20000","0.006893939393939394"
"2500111","Elite Spearman Skeleknight","90","1378","1","259200","20000","0.005316358024691358"
"2500112","Elite Spearman Skeleknight","140","5376","1","1440000","20000","0.0037333333333333333"
"2500113","Elite Spearman Skeleknight","170","9849","1","3240000","400000","0.0030398148148148146"
"2500120","Infernal Skeleton Spear Knight","50","1551","1","330000","30000","0.0047"
"2500121","Infernal Skeleton Spear Knight","90","6262","1","2160000","30000","0.002899074074074074"
"2500122","Infernal Skeleton Spear Knight","140","24437","1","12000000","30000","0.002036416666666667"
"2500123","Infernal Skeleton Spear Knight","170","39172","1","27000000","500000","0.0014508148148148147"
"2500130","Spearman Skeleknight","50","180","1","23760","10000","0.007575757575757576"
"2500131","Spearman Skeleknight","90","909","1","155520","10000","0.005844907407407407"
"2500132","Spearman Skeleknight","140","3548","1","864000","10000","0.004106481481481482"
"2500133","Spearman Skeleknight","170","6501","1","1944000","40000","0.0033441358024691357"
"2500140","Elite Spearman Skeleknight","50","301","1","59400","20000","0.005067340067340068"
"2500141","Elite Spearman Skeleknight","90","1516","1","388800","20000","0.0038991769547325104"
"2500142","Elite Spearman Skeleknight","140","5914","1","2160000","20000","0.002737962962962963"
"2500143","Elite Spearman Skeleknight","170","10834","1","4860000","400000","0.0022292181069958846"
"2500150","Infernal Skeleton Spear Knight","50","1707","1","660000","30000","0.002586363636363636"
"2500151","Infernal Skeleton Spear Knight","90","6888","1","4320000","30000","0.0015944444444444443"
"2500152","Infernal Skeleton Spear Knight","140","26880","1","24000000","30000","0.00112"
"2500153","Infernal Skeleton Spear Knight","170","43090","1","54000000","500000","7.97962962962963E-4"
"2500200","Bloodfang","50","840","1","100000","10000","0.0084"
"2500201","Bloodfang","90","3360","1","500000","10000","0.00672"
"2500202","Bloodfang","140","11520","1","2000000","10000","0.00576"
"2500203","Bloodfang","170","16800","1","4000000","10000","0.0042"
"2500210","Bloodfang","50","924","1","150000","10000","0.00616"
"2500211","Bloodfang","90","3696","1","750000","10000","0.004928"
"2500212","Bloodfang","140","12672","1","3000000","10000","0.004224"
"2500213","Bloodfang","170","18480","1","6000000","10000","0.00308"
"2500220","Elite Bloodfang","50","1400","1","200000","20000","0.007"
"2500221","Elite Bloodfang","90","5600","1","1000000","20000","0.0056"
"2500222","Elite Bloodfang","140","19200","1","4000000","20000","0.0048"
"2500223","Elite Bloodfang","170","28000","1","8000000","20000","0.0035"
"2500230","Elite Bloodfang","50","1540","1","300000","20000","0.0051333333333333335"
"2500231","Elite Bloodfang","90","6160","1","1500000","20000","0.0041066666666666665"
"2500232","Elite Bloodfang","140","21120","1","6000000","20000","0.00352"
"2500233","Elite Bloodfang","170","30800","1","12000000","20000","0.0025666666666666667"
"2500240","Infernal Bloodfang","50","7955","1","3333333","30000","0.002386500238650024"
"2500241","Infernal Bloodfang","90","25455","1","16666667","30000","0.0015272999694540006"
"2500242","Infernal Bloodfang","140","87273","1","66666667","30000","0.001309094993454525"
"2500243","Infernal Bloodfang","170","111364","1","133333333","30000","8.35230002088075E-4"
"2500250","Infernal Bloodfang","50","8750","1","5000000","30000","0.00175"
"2500251","Infernal Bloodfang","90","28000","1","25000000","30000","0.00112"
"2500252","Infernal Bloodfang","140","96000","1","100000000","30000","9.6E-4"
"2500253","Infernal Bloodfang","170","122500","1","200000000","30000","6.125E-4"
"2500300","Owl Tower","50","900","1","135000","100000","0.006666666666666667"
"2500301","Owl Tower","90","3600","1","675000","100000","0.005333333333333333"
"2500302","Owl Tower","140","13200","1","3000000","100000","0.0044"
"2500303","Owl Tower","170","23100","1","7125000","100000","0.0032421052631578947"
"2500310","Deadly Owl Tower","50","3000","1","540000","200000","0.005555555555555556"
"2500311","Deadly Owl Tower","90","12000","1","2700000","200000","0.0044444444444444444"
"2500312","Deadly Owl Tower","140","44000","1","12000000","200000","0.0036666666666666666"
"2500313","Deadly Owl Tower","170","77000","1","28500000","200000","0.002701754385964912"
"2500320","Cruel Owl Tower","50","27273","1","12000000","300000","0.00227275"
"2500321","Cruel Owl Tower","90","87273","1","60000000","300000","0.00145455"
"2500322","Cruel Owl Tower","140","320000","1","266666667","300000","0.0011999999985"
"2500323","Cruel Owl Tower","170","490000","1","633333333","300000","7.73684210933518E-4"
"2500330","Owl Tower","50","1080","1","202500","100000","0.005333333333333333"
"2500331","Owl Tower","90","4320","1","1012500","100000","0.004266666666666667"
"2500332","Owl Tower","140","15840","1","4500000","100000","0.00352"
"2500333","Owl Tower","170","27720","1","10687500","100000","0.0025936842105263157"
"2500340","Owl Tower","50","990","1","202500","100000","0.004888888888888889"
"2500341","Owl Tower","90","3960","1","1012500","100000","0.003911111111111111"
"2500342","Owl Tower","140","14520","1","4500000","100000","0.0032266666666666667"
"2500343","Owl Tower","170","25410","1","10687500","100000","0.002377543859649123"
"2500350","Deadly Owl Tower","50","3300","1","810000","200000","0.004074074074074074"
"2500351","Deadly Owl Tower","90","13200","1","4050000","200000","0.003259259259259259"
"2500352","Deadly Owl Tower","140","48400","1","18000000","200000","0.002688888888888889"
"2500353","Deadly Owl Tower","170","84700","1","42750000","200000","0.0019812865497076024"
"2500360","Cruel Owl Tower","50","30000","1","18000000","300000","0.0016666666666666668"
"2500361","Cruel Owl Tower","90","96000","1","90000000","300000","0.0010666666666666667"
"2500362","Cruel Owl Tower","140","352000","1","400000000","300000","8.8E-4"
"2500363","Cruel Owl Tower","170","539000","1","950000000","300000","5.673684210526316E-4"
"2500370","Owl Tower","50","1188","1","303750","100000","0.003911111111111111"
"2500371","Owl Tower","90","4752","1","1518750","100000","0.003128888888888889"
"2500372","Owl Tower","140","17424","1","6750000","100000","0.0025813333333333335"
"2500373","Owl Tower","170","30492","1","16031250","100000","0.0019020350877192982"
"2500400","Guardian Tower","50","1440","1","216000","200000","0.006666666666666667"
"2500401","Guardian Tower","90","5280","1","1080000","200000","0.004888888888888889"
"2500402","Guardian Tower","140","21120","1","4800000","200000","0.0044"
"2500403","Guardian Tower","170","36960","1","11400000","200000","0.0032421052631578947"
"2500410","Guardian Tower","50","2400","1","432000","200000","0.005555555555555556"
"2500411","Guardian Tower","90","8800","1","2160000","200000","0.004074074074074074"
"2500412","Guardian Tower","140","35200","1","9600000","200000","0.0036666666666666666"
"2500413","Guardian Tower","170","61600","1","22800000","200000","0.002701754385964912"
"2500420","Deadly Guardian Tower","50","6000","1","1080000","300000","0.005555555555555556"
"2500421","Deadly Guardian Tower","90","22000","1","5400000","300000","0.004074074074074074"
"2500422","Deadly Guardian Tower","140","88000","1","24000000","300000","0.0036666666666666666"
"2500423","Deadly Guardian Tower","170","154000","1","57000000","300000","0.002701754385964912"
"2500430","Cruel Guardian Tower","50","54546","1","24000000","400000","0.00227275"
"2500431","Cruel Guardian Tower","90","160000","1","120000000","400000","0.0013333333333333333"
"2500432","Cruel Guardian Tower","140","640000","1","533333333","400000","0.00120000000075"
"2500433","Cruel Guardian Tower","170","980000","1","1266666667","400000","7.736842103227147E-4"
"2500440","Guardian Tower","50","1584","1","324000","200000","0.004888888888888889"
"2500441","Guardian Tower","90","5808","1","1620000","200000","0.003585185185185185"
"2500442","Guardian Tower","140","23232","1","7200000","200000","0.0032266666666666667"
"2500443","Guardian Tower","170","40656","1","17100000","200000","0.002377543859649123"
"2500450","Guardian Tower","50","2640","1","648000","200000","0.004074074074074074"
"2500451","Guardian Tower","90","9680","1","3240000","200000","0.002987654320987654"
"2500452","Guardian Tower","140","38720","1","14400000","200000","0.002688888888888889"
"2500453","Guardian Tower","170","67760","1","34200000","200000","0.0019812865497076024"
"2500460","Deadly Guardian Tower","50","6600","1","1620000","300000","0.004074074074074074"
"2500461","Deadly Guardian Tower","90","24200","1","8100000","300000","0.002987654320987654"
"2500462","Deadly Guardian Tower","140","96800","1","36000000","300000","0.002688888888888889"
"2500463","Deadly Guardian Tower","170","169400","1","85500000","300000","0.0019812865497076024"
"2500470","Cruel Guardian Tower","50","60000","1","36000000","400000","0.0016666666666666668"
"2500471","Cruel Guardian Tower","90","176000","1","180000000","400000","9.777777777777777E-4"
"2500472","Cruel Guardian Tower","140","704000","1","800000000","400000","8.8E-4"
"2500473","Cruel Guardian Tower","170","1078000","1","1900000000","400000","5.673684210526316E-4"
"2500500","Deadly Altar","50","1800","1","540000","300000","0.0033333333333333335"
"2500501","Deadly Altar","90","6400","1","2700000","300000","0.0023703703703703703"
"2500502","Deadly Altar","140","24000","1","12000000","300000","0.002"
"2500503","Deadly Altar","170","40600","1","28500000","300000","0.001424561403508772"
"2500510","Infernal Altar","50","10228","1","6000000","400000","0.0017046666666666666"
"2500511","Infernal Altar","90","29091","1","30000000","400000","9.697E-4"
"2500512","Infernal Altar","140","109091","1","133333333","400000","8.181825020454563E-4"
"2500513","Infernal Altar","170","161478","1","316666667","400000","5.099305257790205E-4"
"2500520","Deadly Altar","50","1980","1","810000","300000","0.0024444444444444444"
"2500521","Deadly Altar","90","7040","1","4050000","300000","0.0017382716049382716"
"2500522","Deadly Altar","140","26400","1","18000000","300000","0.0014666666666666667"
"2500523","Deadly Altar","170","44660","1","42750000","300000","0.0010446783625730994"
"2500530","Infernal Altar","50","11250","1","9000000","400000","0.00125"
"2500531","Infernal Altar","90","32000","1","45000000","400000","7.111111111111111E-4"
"2500532","Infernal Altar","140","120000","1","200000000","400000","6.0E-4"
"2500533","Infernal Altar","170","177625","1","475000000","400000","3.7394736842105263E-4"
"2500600","Mega Ballista","50","567","1","103500","100000","0.005478260869565217"
"2500601","Mega Ballista","90","1815","1","517500","100000","0.0035072463768115944"
"2500602","Mega Ballista","140","6653","1","2300000","100000","0.002892608695652174"
"2500603","Mega Ballista","170","10187","1","5462500","100000","0.0018648970251716247"
"2500610","Ominous Mega Ballista","50","1890","1","414000","200000","0.004565217391304348"
"2500611","Ominous Mega Ballista","90","6048","1","2070000","200000","0.002921739130434783"
"2500612","Ominous Mega Ballista","140","22176","1","9200000","200000","0.0024104347826086957"
"2500613","Ominous Mega Ballista","170","33957","1","21850000","200000","0.001554096109839817"
"2500620","Possessed Mega Ballista","50","6000","1","7245000","300000","8.281573498964803E-4"
"2500621","Possessed Mega Ballista","90","24000","1","36225000","300000","6.625258799171842E-4"
"2500622","Possessed Mega Ballista","140","88000","1","161000000","300000","5.46583850931677E-4"
"2500623","Possessed Mega Ballista","170","154000","1","382375000","300000","4.0274599542334096E-4"
"2500630","Possessed Mega Ballista","50","7800","1","14490000","300000","5.383022774327122E-4"
"2500631","Possessed Mega Ballista","90","31200","1","72450000","300000","4.3064182194616976E-4"
"2500632","Possessed Mega Ballista","140","114400","1","322000000","300000","3.552795031055901E-4"
"2500633","Possessed Mega Ballista","170","200200","1","764750000","300000","2.6178489702517163E-4"
"2500640","Ominous Mega Ballista","50","2457","1","828000","200000","0.0029673913043478262"
"2500641","Ominous Mega Ballista","90","7863","1","4140000","200000","0.0018992753623188405"
"2500642","Ominous Mega Ballista","140","28829","1","18400000","200000","0.0015667934782608696"
"2500643","Ominous Mega Ballista","170","44144","1","43700000","200000","0.0010101601830663615"
"2500650","Mega Ballista","50","737","1","207000","100000","0.0035603864734299515"
"2500651","Mega Ballista","90","2359","1","1035000","100000","0.0022792270531400965"
"2500652","Mega Ballista","140","8649","1","4600000","100000","0.0018802173913043479"
"2500653","Mega Ballista","170","13243","1","10925000","100000","0.0012121739130434783"
"2500700","Iron-Heart Bloodfang","50","7955","1","3333333","30000","0.002386500238650024"
"2500701","Iron-Heart Bloodfang","90","25455","1","16666667","30000","0.0015272999694540006"
