id,name,level,exp,hp
2400127,Warrior Specter,104,2416,1576800
2400128,Magician Specter,105,2488,1657500
2400129,Reaper Specter,115,3411,3776250
2400130,Warrior Specter,104,2416,1576800
2400200,Caterpillar,13,23,200
2400201,Lady Bug,14,24,225
2400202,Sparrow,16,28,275
2400203,Balloon Mouse,18,32,325
2400204,Red Poison Frog,20,35,375
2400205,Green Poison Frog,20,35,375
2400206,Delinquent Chick,22,39,435
2400207,Punk Chick,24,42,495
2400208,Mane Fur Hyena,26,47,580
2400209,Fang Hyena,28,53,720
2400250,Noxious Froggie,190,0,10541200
2400251,Flutterbuzz,191,50203,10950000
2400252,Pom Puff Bush,192,51853,11349800
2400253,Spiney Puff Bush,193,53520,11771000
2400254,Nettled Squirrel,194,55202,12198600
2400255,Vicious Squirrel,195,56902,12632600
2400256,Snowy Stjartmes,196,58618,13056000
2400257,Stormy Stjartmes,197,60344,13502400
2400258,Cloud Guardian,198,62262,13955200
2400259,Sky Guardian,200,82257,446400000
2400260,Snowy Stjartmes,196,0,13056000
2400261,Stormy Stjartmes,197,0,13502400
2400262,Cloud Guardian,198,0,13955200
2400263,Sky Guardian,200,0,446400000
2400265,Wind Guardian,199,64028,14414400
2400300,Hedgehog,13,23,200
2400301,Mutant Hedgehog,16,28,275
2400302,Nutria,18,32,325
2400303,Black Market Hoodlum,21,37,405
2400304,Ooze Waste,23,40,465
2400305,Flame Waste,26,47,580
2400306,Scrap Iron Waste,29,56,790
2400307,Specter Stray Dog,30,72,1800
2400308,Mutant Nutria,33,86,2400
2400309,Garbage Dump Hoodlum,35,95,2800
2400310,Mutant Specter Stray Dog,37,103,3200
2400311,Hazard's Rotten Crony,40,115,3800
2400312,Hazard's Mean Crony,42,124,4200
2400313,Smashed Garbage,5,124,500
2400314,Crushed Garbage,5,124,300
2400315,Hoodlum,10,0,999
2400316,Black Market Hoodlum,20,0,375
2400317,Hazard's Vile Crony,30,0,1800
2400318,Hazard's Rotten Crony,35,0,2800
2400319,Hazard's Mean Crony,40,0,3800
2400320,Hazard's Mean Crony,200,0,330000000
2400321,Specter Stray Dog,200,0,330000000
2400322,Faded Magician Specter,42,0,4200
2400323,Faded Warrior Specter,42,0,4200
2400324,Faded Reaper Specter,42,0,4200
2400325,Mr. Hazard,40,0,95000
2400326,Smashed Garbage,5,0,300
2400327,Crushed Garbage,5,0,300
2400400,Green Grossular,9,15,110
2400401,Purple Amethyst,17,30,300
2400402,Fire Pyrope,21,37,405
2400403,Dark Obsidian,23,40,465
2400404,Shining Gold,25,44,525
2400405,Shining Vinegold,26,47,580
2400406,Blue Larimar,27,50,650
2400407,Practice Robot,10,50,125
2400408,Moving Practice Robot,14,24,225
2400409,Tainted Practice Robot,20,35,375
2400410,Enhanced Moving Practice Robot,10,35,125
2400411,Warrior Specter,28,53,720
2400412,Magician Specter,29,56,790
2400413,Mutant Hedgehog,2,10,20
2400414,Reaper Specter,75,581,19000
2400415,Sanctuary Mytocrystal,24,12,495
2400416,Sanctuary Mytocrystal,24,12,495
2400417,Sanctuary Mytocrystal,24,12,495
2400418,Mutant Hedgehog,1,17,15
2400419,Hoodlum,33,86,2400
2400420,Tainted Practice Robot,32,82,2200
2400421,Enhanced Tainted Practice Robot,32,82,2200
2500000,Skeletrooper,50,156,13200
2500001,Skeletrooper,90,787,86400
2500002,Skeletrooper,140,3072,480000
2500003,Skeletrooper,170,5628,1080000
2500010,Elite Skeletrooper,50,260,33000
2500011,Elite Skeletrooper,90,1312,216000
2500012,Elite Skeletrooper,140,5120,1200000
2500013,Elite Skeletrooper,170,9380,2700000
2500020,Infernal Skeletrooper,50,1478,275000
2500021,Infernal Skeletrooper,90,5964,1800000
2500022,Infernal Skeletrooper,140,23273,10000000
2500023,Infernal Skeletrooper,170,37307,22500000
2500030,Skeletrooper,50,172,19800
2500031,Skeletrooper,90,866,129600
2500032,Skeletrooper,140,3379,720000
2500033,Skeletrooper,170,6191,1620000
2500040,Elite Skeletrooper,50,286,49500
2500041,Elite Skeletrooper,90,1443,324000
2500042,Elite Skeletrooper,140,5632,1800000
2500043,Elite Skeletrooper,170,10318,4050000
2500050,Infernal Skeletrooper,50,1625,550000
2500051,Infernal Skeletrooper,90,6560,3600000
2500052,Infernal Skeletrooper,140,25600,20000000
2500053,Infernal Skeletrooper,170,41038,45000000
2500100,Spearman Skeleknight,50,164,15840
2500101,Spearman Skeleknight,90,827,103680
2500102,Spearman Skeleknight,140,3226,576000
2500103,Spearman Skeleknight,170,5910,1296000
2500110,Elite Spearman Skeleknight,50,273,39600
2500111,Elite Spearman Skeleknight,90,1378,259200
2500112,Elite Spearman Skeleknight,140,5376,1440000
2500113,Elite Spearman Skeleknight,170,9849,3240000
2500120,Infernal Skeleton Spear Knight,50,1551,330000
2500121,Infernal Skeleton Spear Knight,90,6262,2160000
2500122,Infernal Skeleton Spear Knight,140,24437,12000000
2500123,Infernal Skeleton Spear Knight,170,39172,27000000
2500130,Spearman Skeleknight,50,180,23760
2500131,Spearman Skeleknight,90,909,155520
2500132,Spearman Skeleknight,140,3548,864000
2500133,Spearman Skeleknight,170,6501,1944000
2500140,Elite Spearman Skeleknight,50,301,59400
2500141,Elite Spearman Skeleknight,90,1516,388800
2500142,Elite Spearman Skeleknight,140,5914,2160000
2500143,Elite Spearman Skeleknight,170,10834,4860000
2500150,Infernal Skeleton Spear Knight,50,1707,660000
2500151,Infernal Skeleton Spear Knight,90,6888,4320000
2500152,Infernal Skeleton Spear Knight,140,26880,24000000
2500153,Infernal Skeleton Spear Knight,170,43090,54000000
2500200,Bloodfang,50,840,100000
2500201,Bloodfang,90,3360,500000
2500202,Bloodfang,140,11520,2000000
2500203,Bloodfang,170,16800,4000000
2500210,Bloodfang,50,924,150000
2500211,Bloodfang,90,3696,750000
2500212,Bloodfang,140,12672,3000000
2500213,Bloodfang,170,18480,6000000
2500220,Elite Bloodfang,50,1400,200000
2500221,Elite Bloodfang,90,5600,1000000
2500222,Elite Bloodfang,140,19200,4000000
2500223,Elite Bloodfang,170,28000,8000000
2500230,Elite Bloodfang,50,1540,300000
2500231,Elite Bloodfang,90,6160,1500000
2500232,Elite Bloodfang,140,21120,6000000
2500233,Elite Bloodfang,170,30800,12000000
2500240,Infernal Bloodfang,50,7955,3333333
2500241,Infernal Bloodfang,90,25455,16666667
2500242,Infernal Bloodfang,140,87273,66666667
2500243,Infernal Bloodfang,170,111364,133333333
2500250,Infernal Bloodfang,50,8750,5000000
2500251,Infernal Bloodfang,90,28000,25000000
2500252,Infernal Bloodfang,140,96000,100000000
2500253,Infernal Bloodfang,170,122500,200000000
2500300,Owl Tower,50,900,135000
2500301,Owl Tower,90,3600,675000
2500302,Owl Tower,140,13200,3000000
2500303,Owl Tower,170,23100,7125000
2500310,Deadly Owl Tower,50,3000,540000
2500311,Deadly Owl Tower,90,12000,2700000
2500312,Deadly Owl Tower,140,44000,12000000
2500313,Deadly Owl Tower,170,77000,28500000
2500320,Cruel Owl Tower,50,27273,12000000
2500321,Cruel Owl Tower,90,87273,60000000
2500322,Cruel Owl Tower,140,320000,266666667
2500323,Cruel Owl Tower,170,490000,633333333
2500330,Owl Tower,50,1080,202500
2500331,Owl Tower,90,4320,1012500
2500332,Owl Tower,140,15840,4500000
2500333,Owl Tower,170,27720,10687500
2500340,Owl Tower,50,990,202500
2500341,Owl Tower,90,3960,1012500
2500342,Owl Tower,140,14520,4500000
2500343,Owl Tower,170,25410,10687500
2500350,Deadly Owl Tower,50,3300,810000
2500351,Deadly Owl Tower,90,13200,4050000
2500352,Deadly Owl Tower,140,48400,18000000
2500353,Deadly Owl Tower,170,84700,42750000
2500360,Cruel Owl Tower,50,30000,18000000
2500361,Cruel Owl Tower,90,96000,90000000
2500362,Cruel Owl Tower,140,352000,400000000
2500363,Cruel Owl Tower,170,539000,950000000
2500370,Owl Tower,50,1188,303750
2500371,Owl Tower,90,4752,1518750
2500372,Owl Tower,140,17424,6750000
2500373,Owl Tower,170,30492,16031250
2500400,Guardian Tower,50,1440,216000
2500401,Guardian Tower,90,5280,1080000
2500402,Guardian Tower,140,21120,4800000
2500403,Guardian Tower,170,36960,11400000
2500410,Guardian Tower,50,2400,432000
2500411,Guardian Tower,90,8800,2160000
2500412,Guardian Tower,140,35200,9600000
2500413,Guardian Tower,170,61600,22800000
2500420,Deadly Guardian Tower,50,6000,1080000
2500421,Deadly Guardian Tower,90,22000,5400000
2500422,Deadly Guardian Tower,140,88000,24000000
2500423,Deadly Guardian Tower,170,154000,57000000
2500430,Cruel Guardian Tower,50,54546,24000000
2500431,Cruel Guardian Tower,90,160000,120000000
2500432,Cruel Guardian Tower,140,640000,533333333
2500433,Cruel Guardian Tower,170,980000,1266666667
2500440,Guardian Tower,50,1584,324000
2500441,Guardian Tower,90,5808,1620000
2500442,Guardian Tower,140,23232,7200000
2500443,Guardian Tower,170,40656,17100000
2500450,Guardian Tower,50,2640,648000
2500451,Guardian Tower,90,9680,3240000
2500452,Guardian Tower,140,38720,14400000
2500453,Guardian Tower,170,67760,34200000
2500460,Deadly Guardian Tower,50,6600,1620000
2500461,Deadly Guardian Tower,90,24200,8100000
2500462,Deadly Guardian Tower,140,96800,36000000
2500463,Deadly Guardian Tower,170,169400,85500000
2500470,Cruel Guardian Tower,50,60000,36000000
2500471,Cruel Guardian Tower,90,176000,180000000
2500472,Cruel Guardian Tower,140,704000,800000000
2500473,Cruel Guardian Tower,170,1078000,1900000000
2500500,Deadly Altar,50,1800,540000
2500501,Deadly Altar,90,6400,2700000
2500502,Deadly Altar,140,24000,12000000
2500503,Deadly Altar,170,40600,28500000
2500510,Infernal Altar,50,10228,6000000
2500511,Infernal Altar,90,29091,30000000
2500512,Infernal Altar,140,109091,133333333
2500513,Infernal Altar,170,161478,316666667
2500520,Deadly Altar,50,1980,810000
2500521,Deadly Altar,90,7040,4050000
2500522,Deadly Altar,140,26400,18000000
2500523,Deadly Altar,170,44660,42750000
2500530,Infernal Altar,50,11250,9000000
2500531,Infernal Altar,90,32000,45000000
2500532,Infernal Altar,140,120000,200000000
2500533,Infernal Altar,170,177625,475000000
2500600,Mega Ballista,50,567,103500
2500601,Mega Ballista,90,1815,517500
2500602,Mega Ballista,140,6653,2300000
2500603,Mega Ballista,170,10187,5462500
2500610,Ominous Mega Ballista,50,1890,414000
2500611,Ominous Mega Ballista,90,6048,2070000
2500612,Ominous Mega Ballista,140,22176,9200000
2500613,Ominous Mega Ballista,170,33957,21850000
2500620,Possessed Mega Ballista,50,6000,7245000
2500621,Possessed Mega Ballista,90,24000,36225000
2500622,Possessed Mega Ballista,140,88000,161000000
2500623,Possessed Mega Ballista,170,154000,382375000
2500630,Possessed Mega Ballista,50,7800,14490000
2500631,Possessed Mega Ballista,90,31200,72450000
2500632,Possessed Mega Ballista,140,114400,322000000
2500633,Possessed Mega Ballista,170,200200,764750000
2500640,Ominous Mega Ballista,50,2457,828000
2500641,Ominous Mega Ballista,90,7863,4140000
2500642,Ominous Mega Ballista,140,28829,18400000
2500643,Ominous Mega Ballista,170,44144,43700000
2500650,Mega Ballista,50,737,207000
2500651,Mega Ballista,90,2359,1035000
2500652,Mega Ballista,140,8649,4600000
2500653,Mega Ballista,170,13243,10925000
2500700,Iron-Heart Bloodfang,50,7955,3333333
2500701,Iron-Heart Bloodfang,90,25455,16666667
2500702,Iron-Heart Bloodfang,140,87273,66666667
2500703,Iron-Heart Bloodfang,170,111364,133333333
2500710,Iron-Heart Bloodfang,50,8750,5000000
2500711,Iron-Heart Bloodfang,90,28000,25000000
2500712,Iron-Heart Bloodfang,140,96000,100000000
2500713,Iron-Heart Bloodfang,170,122500,200000000
2500800,Bloodfang,50,840,100000
2500801,Bloodfang,90,3360,500000
2500802,Bloodfang,140,11520,2000000
2500803,Bloodfang,170,16800,4000000
2500810,Elite Bloodfang,50,1400,200000
2500811,Elite Bloodfang,90,5600,1000000
2500812,Elite Bloodfang,140,19200,4000000
2500813,Elite Bloodfang,170,28000,8000000
2500820,Infernal Bloodfang,50,7955,3333333
2500821,Infernal Bloodfang,90,25455,16666667
2500822,Infernal Bloodfang,140,87273,66666667
2500823,Infernal Bloodfang,170,111364,100000000
2500830,Bloodfang,50,924,150000
2500831,Bloodfang,90,3696,750000
2500832,Bloodfang,140,12672,3000000
2500833,Bloodfang,170,18480,6000000
2500840,Elite Bloodfang,50,1540,300000
2500841,Elite Bloodfang,90,6160,1500000
2500842,Elite Bloodfang,140,21120,6000000
2500843,Elite Bloodfang,170,30800,12000000
2500850,Infernal Bloodfang,50,8750,5000000
2500851,Infernal Bloodfang,90,28000,25000000
2500852,Infernal Bloodfang,140,96000,100000000
2500853,Infernal Bloodfang,170,122500,200000000
2500900,Altar of Genesis,170,122500,2000000000
2500901,Altar of Genesis,170,122500,2000000000
2500902,Altar of Genesis,170,122500,2000000000
2500903,Altar of Genesis,170,122500,2000000000
2500904,Altar of Genesis,170,122500,2000000000
2500905,Altar of Genesis,170,122500,2000000000
2500906,Altar of Genesis,170,122500,2000000000
2501000,Altar of Healing,170,122500,2000000000
2501001,Altar of Healing,170,122500,2000000000
2501002,Altar of Healing,170,122500,2000000000
2501003,Altar of Healing,170,122500,2000000000
2501010,Altar of Healing,170,122500,2000000000
2501011,Altar of Healing,170,122500,2000000000
2501012,Altar of Healing,170,122500,2000000000
2501013,Altar of Healing,170,122500,2000000000
2510000,Cygnus Hastati,50,0,13200
2510001,Cygnus Hastati,90,0,86400
2510002,Cygnus Hastati,140,0,480000
2510003,Cygnus Hastati,170,0,1080000
2510010,Elite Cygnus Hastati,50,0,33000
2510011,Elite Cygnus Hastati,90,0,216000
2510012,Elite Cygnus Hastati,140,0,1200000
2510013,Elite Cygnus Hastati,170,0,2700000
2510020,Cygnus Hastati,50,0,19800
2510021,Cygnus Hastati,90,0,129600
2510022,Cygnus Hastati,140,0,720000
2510023,Cygnus Hastati,170,0,1620000
2510030,Elite Cygnus Hastati,50,0,49500
2510031,Elite Cygnus Hastati,90,0,324000
2510032,Elite Cygnus Hastati,140,0,1800000
2510033,Elite Cygnus Hastati,170,0,4050000
2510100,Cygnus Centurion,50,0,15840
2510101,Cygnus Centurion,90,0,103680
2510102,Cygnus Centurion,140,0,576000
2510103,Cygnus Centurion,170,0,1296000
2510110,Elite Cygnus Centurion,50,0,39600
2510111,Elite Cygnus Centurion,90,0,259200
2510112,Elite Cygnus Centurion,140,0,1440000
2510113,Elite Cygnus Centurion,170,0,3240000
2510120,Cygnus Centurion,50,0,23760
2510121,Cygnus Centurion,90,0,155520
2510122,Cygnus Centurion,140,0,864000
2510123,Cygnus Centurion,170,0,1944000
2510130,Elite Cygnus Centurion,50,0,59400
2510131,Elite Cygnus Centurion,90,0,388800
2510132,Elite Cygnus Centurion,140,0,2160000
2510133,Elite Cygnus Centurion,170,0,4860000
2510200,Cygnus Faith Stone,50,0,45000
2510201,Cygnus Faith Stone,90,0,95000
2510202,Cygnus Faith Stone,140,0,350000
2510203,Cygnus Faith Stone,170,0,600000
2510210,Cygnus Faith Stone,50,0,50000
2510211,Cygnus Faith Stone,90,0,100000
2510212,Cygnus Faith Stone,140,0,400000
2510213,Cygnus Faith Stone,170,0,650000
2600000,Beetle,102,2853,198133
2600001,Dual Beetle,102,2853,198133
2600002,Hankie,102,2853,198133
2600003,Rash,102,2853,198133
2600004,Dark Rash,102,2853,198133
2600005,Hobi,102,2853,198133
2600006,Green Hobi,102,2853,198133
2600007,Griffey,102,34975,1725000
2600008,Harp,104,3043,217920
2600009,Blood Harp,104,3043,217920
2600010,Black Kentaurus,104,3043,217920
2600011,Red Kentaurus,104,3043,217920
2600012,Blue Kentaurus,104,3043,217920
2600013,Birk,104,3043,217920
2600014,Dual Birk,104,3043,217920
2600015,Kentaurus King,104,36575,1825000
2600016,Blue Dragon Turtle,106,3235,238787
2600017,Red Dragon Turtle,106,3235,238787
2600018,Rexton,106,3235,238787
2600019,Brexton,106,3235,238787
2600020,Jr. Newtie,106,3235,238787
2600021,Nest Golem,106,3235,238787
2600022,Manon,106,38150,1925000
2600023,Red Wyvern,108,3430,260760
2600024,Blue Wyvern,108,3430,260760
2600025,Dark Wyvern,108,3430,260760
2600026,Green Cornian,108,3430,260760
2600027,Dark Cornian,108,3430,260760
2600028,Skelegon,108,3430,260760
2600029,Skelosaurus,108,3430,260760
2600030,Leviathan,108,39700,2025000
2600100,White Desert Rabbit,112,3828,308130
2600101,Brown Desert Rabbit,112,3828,308130
2600102,Jr. Cactus,112,3828,308130
2600103,Cactus,112,3828,308130
2600104,Royal Cactus,112,3828,308130
2600105,Deo,112,42725,2225000
2600106,Bellamoa,114,4031,333581
2600107,Ear Plug Plead,114,4031,333581
2600108,Scarf Plead,114,4031,333581
2600109,Meerkat,114,4031,333581
2600110,Sand Rat,114,4031,333581
2600111,Thief Crow,114,44200,2325000
2600112,Scorpion,116,4236,360244
2600113,Sand Dwarf,116,4236,360244
2600114,Kiyo,116,4236,360244
2600115,Dark Sand Dwarf,116,4236,360244
2600116,Intruder,116,4236,360244
2600117,Desert Giant,116,45650,2425000
2600118,Pyramid Mummydog,118,4446,388145
2600119,Pyramid Skeleton,118,4446,388145
2600120,Mummy,118,4446,388145
2600121,Anubis,118,4446,388145
2600122,Horus,118,4446,388145
2600123,Advisor Mummy,118,4446,388145
2600125,Guardian Tower,118,47100,2525000
2600200,Green Mushroom,122,4870,447770
2600201,Devastated Green Mushroom,122,4870,447770
2600202,Orange Mushroom,122,4870,447770
2600203,Horny Mushroom,122,4870,447770
2600204,Blue Mushroom,122,4870,447770
2600205,Crying Blue Mushroom,122,4870,447770
2600206,Zombie Mushroom,122,4870,447770
2600207,Annoyed Zombie Mushroom,122,4870,447770
2600208,Mushmom,122,49900,2725000
2600209,Stone Golem,124,5086,479546
2600210,Dark Stone Golem,124,5086,479546
2600211,Mixed Golem,124,5086,479546
2600212,Icy Mixed Golem,124,5086,479546
2600213,Flaming Mixed Golem,124,5086,479546
2600214,Metal Golem,124,51275,2825000
2600215,Palm Tree Slime,126,5347,517049
2600216,Violet Clam Slime,126,5347,517049
2600217,Blue Tube Slime,126,5347,517049
2600218,Shrimp Slime,126,5347,517049
2600219,Flying Fish Slime,126,5347,517049
2600220,Starfish Octopus Slime,126,5347,517049
2600221,Seashell Octopus Slime,126,5347,517049
2600222,Captain Darkgoo,126,53050,2950000
2600223,Copper Drake,128,5698,565248
2600224,Drake,128,5698,565248
2600225,Red Drake,128,5698,565248
2600226,Wild Cargo,128,5698,565248
2600227,Ice Drake,128,5698,565248
2600228,Dark Drake,128,5698,565248
2600229,Tauromacis,128,5698,565248
2600230,Taurospear,128,5698,565248
2600231,Jr. Balrog,128,55650,3125000
2600300,Straw Target Dummy,131,6429,663101
2600301,Wooden Target Dummy,131,6429,663101
2600302,The Book Ghost,131,6429,663101
2600303,Sage Cat,131,6429,663101
2600304,Master Dummy,131,6429,663101
2600305,King Sage Cat,131,61350,3500000
2600306,Chipmunk,133,6923,732324
2600307,Red Porky,133,6923,732324
2600308,Black Porky,133,6923,732324
2600309,Blue Flower Serpent,133,6923,732324
2600310,Red Flower Serpent,133,6923,732324
2600311,Giant Centipede,133,65075,3750000
2600312,Grizzly,135,7425,804815
2600313,Cute Reindeer,135,7425,804815
2600314,Peach Monkey,135,7425,804815
2600315,Panda,135,7425,804815
2600316,Tae Roon,135,68750,4000000
2600317,Jar,137,7935,880641
2600318,Ginseng Jar,137,7935,880641
2600319,Bellflower Root,137,7935,880641
2600320,Sr. Bellflower Root,137,7935,880641
2600321,Gigantic Bellflower Root,137,72400,4250000
2600322,Mr. Alli,139,8448,959867
2600323,Kru,139,8448,959867
2600324,Captain,139,8448,959867
2600325,Gold Captain,139,8448,959867
2600326,Lord Pirate,139,75975,4500000
2600400,Patrol Robot,142,9230,1085226
2600401,Water Thief Monster,142,9230,1085226
2600402,Dust Box,142,9230,1085226
2600403,Streetlight,142,9230,1085226
2600404,Patrol Robot S,142,9230,1085226
2600405,Guard Robot E,142,9230,1085226
2600406,Trash Can,142,81250,4875000
2600407,Strange Sign,144,9760,1173242
2600408,Serpent,144,9760,1173242
2600409,Safety First,144,9760,1173242
2600410,Baby Boulder Muncher,144,9760,1173242
2600411,Big Boulder Muncher,144,9760,1173242
2600412,Big Rock Face,144,84725,5125000
2600413,Racoco,146,10295,1264891
2600414,Big Spider,146,10295,1264891
2600415,Cart Bear,146,10295,1264891
2600416,Racaroni,146,10295,1264891
2600417,Raco,146,10295,1264891
2600418,Ore Muncher,146,10295,1264891
2600419,Gigantic Rue Monster,146,88150,5375000
2600420,Guard Robot L,148,10836,1360238
2600421,Security System,148,10836,1360238
2600422,Enhanced Security System,148,10836,1360238
2600423,AF Android,148,10836,1360238
2600424,Broken DF Android,148,10836,1360238
2600425,Poison Gas Generator,148,91525,5625000
2600500,Cube Slime,152,12172,1594175
2600501,Megran,152,12172,1594175
2600502,Rumo,152,12172,1594175
2600503,Triple Rumo,152,12172,1594175
2600504,Rurumo,152,100100,6250000
2600505,Iron Mutae,154,13203,1767316
2600506,Reinforced Iron Mutae,154,13203,1767316
2600507,Mithril Mutae,154,13203,1767316
2600508,Reinforced Mithril Mutae,154,13203,1767316
2600509,Security Camera,154,107175,6750000
2600510,Homuns,156,14249,1947853
2600511,Homunculus,156,14249,1947853
2600512,Homunscullo,156,14249,1947853
2600513,Saitie,156,14249,1947853
2600514,Chimera,156,114175,7250000
2600515,Roid,158,15303,2135919
2600516,Neo Huroid,158,15303,2135919
2600517,D. Roy,158,15303,2135919
2600518,Deet and Roi,158,121075,7750000
2600600,Brown Teddy,162,17450,2535170
2600601,Pink Teddy,162,17450,2535170
2600602,Panda Teddy,162,17450,2535170
2600603,Roloduck,162,17450,2535170
2600604,Toy Trojan,162,17450,2535170
2600605,Robo,162,17450,2535170
2600606,Master Robo,162,17450,2535170
2600607,Targa,162,134650,8750000
2600608,Tick,164,18541,2746619
2600609,Tick-Tock,164,18541,2746619
2600610,Chronos,164,18541,2746619
2600611,Platoon Chronos,164,18541,2746619
2600612,Master Chronos,164,18541,2746619
2600613,Timer,164,141325,9250000
2600614,Death Teddy,166,19641,2966127
2600615,Master Death Teddy,166,19641,2966127
2600616,Soul Teddy,166,19641,2966127
2600617,Master Soul Teddy,166,19641,2966127
2600618,Buffoon,166,19641,2966127
2600619,Deep Buffoon,166,19641,2966127
2600620,Buffy,166,19641,2966127
2600621,Lazy Buffy,166,19641,2966127
2600622,Alishar,166,147900,9750000
2600623,Ghost Pirate,168,20754,3193827
2600624,Dual Ghost Pirate,168,20754,3193827
2600625,Klock,168,20754,3193827
2600626,Dark Klock,168,20754,3193827
2600627,Spirit Viking,168,20754,3193827
